id,date_short,party,name,sents,party_2,results_1,results_number,results_2
80,38432,Labour,Iain Wright,"several factors have produced that stability. first and foremost was the decision taken in the first few days of the labour administration in 1997 to make the bank of england independent. i do not wish to make petty party political points, much as i am tempted to.",Labour,Pro-independence,1,Pro-independence
81,36368,Labour,Mr: Bill Rammell,"he should look at what the independent commentators have said about the government's management of the economy. they have a very impressive record, setting in place the framework for economic stability and granting operational independence to the bank of england, which established greater confidence for investors and the belief that decisions would be taken for sound economic reasons, not for short-term party political gain. the immediate benefit of that ” longer-term interest rates ” is there for all to see.",Labour,Pro-independence,1,Pro-independence
82,37720,Labour,Barry Gardiner,"and learned gentleman was a member of the government when inflation was in double figures.the success has been largely achieved by the chancellor's initiative back in 1997 to pass control of monetary policy to an independent bank of england. in turn, that has led to historically low interest rates helping to foster investment and to stimulate and sustain demand during difficult economic periods. since we came into office.",Labour,Pro-independence,1,Pro-independence
83,36103,Labour,The Prime Minister,"the conservatives are now in favour of scrapping bank of england independence, cancelling the spending next year and cancelling the new deal and working families tax credit. if any of those things are wrong, let the leader of the opposition get up and say so now ”  [interruption.] gentleman's question.",Labour,Pro-independence,1,Pro-independence
84,38097,Labour,Doug Henderson,"when we give that degree of independence, while maintaining some influence over the long-term shape of the responsibilities of the bank of england, we nurture that improvement.on borrowing policy, one problem in the past was that, in the 1960s, 1970s and 1980s, many people still lived under the economics of the 1930s. in a less global economy, with massive deflation domestically, public expenditure programmes were necessary to create work. member for grantham and stamford, the government's fiscal policy has been one of the building blocks of the economic success and stability that they have achieved.",Labour,Unrelated,2,Unrelated
85,35906,Labour,Mr. Tony Benn," indeed, it would be incompatible with the treaty to
 approve, suspend, annul or defer decisions of national central banks;
 or to
 censor a national central bank's decisions on legal grounds"".  whatever the legislation might be, the courts would not be allowed to take action that would hamper the independence of the central banks. indeed, we cannot
 participate in the decision-making bodies of a national central bank with a right to vote"".",Labour,Pro-independence,1,Pro-independence
86,36279,Labour,"The Minister for Employment, Welfare to Work and Equal Opportunities (Mr. Andrew Smith)","he, too, omitted to mention the fall in long-term youth unemployment in his constituency in the past two years. the government made it clear that we would not play short-term party politics with interest rates. we have given independence to the monetary policy committee of the bank of england, and we will support decisions taken by the bank on interest rates.",Labour,Pro-independence,1,Pro-independence
87,33549,Labour,Mr. Robert Sheldon," in future, we will not just give the bank of england independence; we will transfer that independence to others in other countries and rely on ecofin. what is that? i do not want to speak too much about that matter; i simply marvel at one aspect of the opposition stance.",Labour,Pro-independence,1,Pro-independence
88,35761,Labour,Mr. Robinson,"it is precisely because the conservative party did not have the political courage to give operational independence to the bank of england that economic policy was too often dictated by political expediency. that is why we experienced the two biggest recessions and the two biggest periods of inflation during 10 years of hopelessly incompetent macro-economic policy under the conservative party. i am surprised that a number of the new labour independent central bank freaks are not jumping up and asking, ""are you not in favour of independent central banks, and is not the bundesbank a frightfully successful institution?""
 the answer is that there is no such thing as a truly independent central bank.",Labour,Pro-independence,1,Pro-independence
89,38799,Labour (Co-op),Ed Balls,the change of government and bank of england independence actually restored stability to an overheating and dangerously inflationary economy. can the hon. member for tatton (mr.,Labour,Pro-independence,1,Pro-independence
90,37812,Labour,Gordon Brown,"i assure him that we will do nothing in any decision that we make to put the basic stability of the british economy at risk. it is precisely because we will not put the british economy's stability at risk that we introduced independence for the bank of england and our new fiscal and monetary regime. it is also precisely for that reason that we will take no risks in the euro assessment, which will be conducted with rigour and in a way that is both transparent and comprehensive.",Labour,Pro-independence,1,Pro-independence
91,36096,Labour,The Prime Minister,"half the conservative members are nodding their heads and the other half shaking them. however, as i also told him last week, a net 400,000 additional jobs have been created. his alternative, cancelling investment in schools and hospitals next year and cancelling bank of england independence, would be a disaster for the british economy.",Labour,Pro-independence,1,Pro-independence
92,36094,Labour,Mr. Byers," however, last week, the shadow chancellor said that he, too, opposed bank of england independence. he said:
 we would not have given up control of interest rates in the first place"".  so there is a degree of confusion on the part of the shadow chancellor.",Labour,Pro-independence,1,Unrelated
93,35759,Labour,Mr. Brown,"we raised interest rates immediately, and made the bank of england independent. there have had to be further rises in interest rates. i understand that this morning he launched an exhibition on the kent thames-side region, and i wish him well in his efforts both to form an effective public-private partnership there and to attract inward investment.",Labour,Pro-independence,1,Pro-independence
94,34052,Labour,Mr. Davies,"we have not been told that before, so now we can move on. of course, it means that the government do not believe in an independent bank of england. the present british set-up is excellent; the governor gives his advice, and the prime minister and chancellor decide.",Labour,Anti-independence,0,Anti-independence
95,36103,Labour,Mr. Brown,"on the future of the bank of england, the reason why i support independence and believe that the conservative party, on reflection, will believe that it is against the national interest to scrap the independence of the bank, is because, for 30 or 40 years, this country has lacked the long-term monetary framework that is necessary for stability ” long-term objectives that are set down clearly, free of party politics and short-term pressures, rules that the bank and the system have to follow, and transparency in the reporting of decisions.  one reason why long-term interest rates fell from 7 per cent. and why the differential with germany, which has been a low-inflation country, has narrowed on long-term interest rates is precisely because we made the bank of england independent.",Labour,Pro-independence,1,Pro-independence
96,35976,Labour,Mr. Geoffrey Robinson,"however, generally, the conservative party is no longer seriously suggesting that, in the unlikely and impossible event of its ever being in government again, it would repeal the changes that we have introduced, be it the independence of the bank of england, the code for fiscal stability or the abolition of tax credits to make a level playing field to encourage investment.  the government have largely won the argument. no one will do that.",Labour,Pro-independence,1,Pro-independence
97,35613,Labour,Mr. Denis MacShane,"there are virtues in creating the independent monetary policy committee for the bank of england. i do not want our chancellor, or in 20 years' time some conservative chancellor, waking up worrying about interest rates every morning of his life. the united states, which probably cleaves to many of the values about which my hon.",Labour,Pro-independence,1,Pro-independence
98,41717,Labour,William Bain,"what could be more damaging for jobs and growth in scotland than that? there is an honourable and admirable precedent for that sort of approach, which was taken bythe last labour prime minister. when he was chancellor of the exchequer in 1997, he took the world by surprise a weekend after the election by announcing the formation of the monetary policy committee at the bank of england and transferring the power to control interest rates away from ministers and the treasury to an independent committee.",Labour,Pro-independence,1,Pro-independence
99,36103,Labour,Mr. Brown,spicer). perhaps he can tell us what the policy is on the independence of the bank of england. i was wondering what the chancellor's policy was.,Labour,Unrelated,2,Unrelated
100,35905,Liberal Democrat,Mr. Edward Davey,"cable) in committee and on report, which is contrary to what the chief secretary alleged. we believe that the newly independent bank of england should represent fully all the nations and regions of the united kingdom. in the spirit of our amendments, we shall support the lords amendment, which provides the only element of additional representation on offer.",Others,Pro-independence,1,Pro-independence
101,36228,,Unknown,"interest rates for an entire year and interest rates at 10 per cent. or more for four years. in 1997, so that interest rate decisions would be set for the long-term needs of the economy, the government made the bank of england ” britain's monetary authority ” independent.",Others,Pro-independence,1,Pro-independence
102,35745,Liberal Democrat,Mr. Bruce,"the bank is likely to have some years of operational independence before the decision is finally made to become part of the european central bank, so perhaps its track record in those years will pave the way.  the conservative party has put itself in a remarkable position, given its track record and former contacts and support: on all the central issues, it is substantially on the wrong side of the debate with the business community, which needs at least some suggestion of a practical political focus for decision making that takes account of what is really happening. members on both sides of the house have expressed some astonishment that the introduction of independent monetary control by the bank of england was announced four days after the general election without having been in the labour party's manifesto.",Others,Pro-independence,1,Pro-independence
103,33184,Independent SDP,Dr. David Owen,"first, we cannot anticipate the circumstances in which that treaty, on that date, will come into being; and, secondly, we would surrender all exchange rate control. until we can see clearly the nature of the beast in operation in phase 2, it will be hard to be certain that a system comprising central banks ” or euro-fed ” which will be the tighter organisation needed for those that enter a single currency, are operating independently and actually have an anti-inflationary bias. the detail is everything.",Others,Unrelated,2,Unrelated
104,42401,Plaid Cymru,Jonathan Edwards,"i understand that the central bank is politically independent, but there is obvious co-ordination between the treasury and the central bank. similar protocols and links need to be developed with the welsh, scottish and northern irish exchequers. i am not sure that cag access will be enough.",Others,Unrelated,2,Unrelated
105,35745,Liberal Democrat,Mr. Bruce,"and learned member for rushcliffe and got him middle stump by asking for his view on an independent central bank for the united kingdom as compared with a european central bank. it is neither consistent nor logical to oppose the principle of an operationally independent bank for the united kingdom while being in favour of a single currency reinforced by a central european bank.  the government have set themselves the task of preparing the country for membership of a single currency, even if, regrettably, they have effectively ruled out the possibility of an early decision in this parliament ” although i suspect that they may yet have to return to that.",Others,Pro-independence,1,Pro-independence
106,41528,Liberal Democrat,Michael Moore,"the nationalists fail to answer all the points from both sides of the argument. if scotland chooses to vote for independence next september, how will handing over control of the scottish economy to a foreign bank, namely the bank of england, benefit scotland™s economy? it is a pleasure to follow the hon.",Others,Unrelated,2,Unrelated
107,33358,Liberal Democrat,Mr. Beith," the chairman of the treasury and civil service select committee put the remarks of the governor to the chancellor, who responded to the governor's view that a more independent role for the central bank would help in the battle against inflation by saying that countries differ in their practices in that respect. some countries, he said, use a more independent central bank while others do not. some have found that helpful in fighting inflation while others do not appear to need it.",Others,Unrelated,2,Unrelated
108,33914,Liberal Democrat,Mr. Beith,"the central bank exercises a largely independent responsibility for banking supervision, but is totally subservient to the government on the matter of conducting monetary policy ” the reverse of what should happen. there is a stronger case for closer accountability for banking supervision than for independence in monetary policy. i hope that we can think of a more catchy title if we devise such an institution in this country.",Others,Pro-independence,1,Pro-independence
109,33184,Liberal Democrat,Mr. Beith,"does not she realise that many of the industrialists whom she has praised see a single currency as the natural extension of free enterprise and a free market? that is the truth of the matter.  the question of sovereignty again arises with the independent, central bank.",Others,Unrelated,2,Unrelated
110,33660,Liberal Democrat,Mr. Beith,"the government might do the country a service. if they are so worried about the consequences of other parties' coming into office, why do they not build that in now as part of a firm, permanent anti-inflation policy? surely there is a difference between an independent central bank that is running a single currency ” i do not think that there is any practical alternative to that ” and the government of the day continuing to be responsible to the house of commons for monetary policy when running their own currency.",Others,Unrelated,2,Unrelated
111,36585,Liberal Democrat,Mr. Davey,"he supported that. that step improved accountability for monetary policy because it set a clear, publicly set goal for the independent bank of england to undertake monetary operations on a daily basis and to try to hit the inflation target.  the monetary policy committee's actions are recorded in minutes.",Others,Pro-independence,1,Pro-independence
112,41654,Liberal Democrat,Vincent Cable,"it is a little difficult to do so in the face of the relentless tribalism that we have just heard, but i would say at the outset that the introduction of the national minimum wage was a real achievement of the previous government. there were not many achievements, but two will stand the test of time: the establishment of the independent bank of england and the establishment of the national minimum wage.  [interruption.] indeed, there were others, but those were the two main ones in the economic field.having said that, i attempted to be constructive about the motion, but one blindingly obvious point is that the centrepiece of the national minimum wage legislation ” the establishment of a non-partisan, non-political low pay commission ” did not even merit a mention.",Others,Unrelated,2,Unrelated
113,35592,Liberal Democrat,Dr. Vincent Cable,"an independent central bank should get those down, as we saw from the market reaction to the chancellor's announcement a few weeks ago.  we need to achieve a climate of long-termism in british industry. it is not in the nature of capitalism to be short-term: it is the way that our policy has been conducted.",Others,Pro-independence,1,Pro-independence
114,36368,Liberal Democrat,Mr. Edward Davey,"tyrie). there is a need for greater independence for the bank of england, and i hope that the select committee on the treasury will continue to push for it.  i was disappointed by the speech of the right hon.",Others,Pro-independence,1,Pro-independence
115,32953,Liberal Democrat,Mr. A. J. Beith,"lawson) for a more independent central bank and place it back on the prime minister's desk with a little note saying, ""please read this again."" there may be much merit in having a more autonomous judge of our monetary policy and an institutionalised battle against inflation. we will get that under european monetary union, but why not have it in the meantime by giving the bank of england greater independence?  judgments about these aspects of the budget are being made in this place and in the city, but judgments about different aspects of it are being made in ordinary homes.",Others,Pro-independence,1,Pro-independence
116,31744,Liberal,Mr. Penhaligon,"i note that the legislation states that if the independent members disagree with the bank of england members, they can report to the chancellor. does that mean that they meet separately and independently? we intend to table amendments to give the supervisory board a certain degree of independence.",Others,Pro-independence,1,Pro-independence
117,36483,Liberal Democrat,Dr. Vincent Cable,"those are all positive achievements. i am also pleased that the debate today combines the concerns of trade and industry and of social security.  the first condition for economic success and therefore social investment is economic stability, which has been established already through the independence given to the bank of england.",Others,Pro-independence,1,Pro-independence
118,32896,Liberal Democrat,Mr. Beith,the prime minister hates the idea of the government who she heads being inhibited in any way. she adopts exactly the same attitude in her opposition to the previous chancellor's proposal that there should be a more independent central bank. it was instructive to hear what the prime minister said about that.,Others,Unrelated,2,Unrelated
119,36368,Liberal Democrat,Mr. Edward Davey,"member for wells mentioned the government's annual report, which was published yesterday, and which rightly referred to the government's success on inflation and interest rates.  by building on the independence that they gave to the bank of england, the government have achieved a good record on inflation and interest rates. risks remain on inflation, such as the possibility ” receding and less strong than it was a few months ago ” that the pound might collapse, thus importing inflation.",Others,Pro-independence,1,Pro-independence
120,35817,Liberal Democrat,Dr. Cable,"gentleman's proposal is one way in which to do that.  the liberal democrats strongly support the basic principle of independence of the bank of england. we support the concept that the government have introduced, although we regret that they have not been more flexible over some of the amendments designed to improve the bill.",Others,Pro-independence,1,Pro-independence
121,37725,Liberal Democrat,Vincent Cable,"true, there is a fiscal policy framework and fiscal targets, but the problem in terms of stability and long-term credibility is that the chancellor measures his own performance. that differs markedly from the bank of england, which has a very sound structure, real transparency and real independence. no comparable organisation exists on the fiscal policy side.let me give one or two examples.",Others,Pro-independence,1,Pro-independence
122,36368,Liberal Democrat,Mr. Edward Davey,"the government, with the help of the monetary policy committee, have avoided recession, but as much by good fortune as good management, with some helpful developments in the international economy.  much of the success has been built on the independence of the bank of england, an idea borrowed from the liberal democrat manifesto. however, how can the bank's independence and accountability be improved?",Others,Pro-independence,1,Pro-independence
123,35997,Liberal Democrat,Mr. Bruce,"however, we deplore the unbalancing effect of the government's fiscal policy. gentleman has been in the chamber until now, but i may give way to him later.  that is why we gave the bank of england operational independence and we now have the lowest ” ",Others,Pro-independence,1,Pro-independence
124,38427,Liberal Democrat,Charles Kennedy,"of course part of the reason for that, on which i know the chancellor now agrees, is that when he first came to his high office, he implemented liberal democrat policy on giving operational independence to the bank of england. the difference between the chancellor and ourselves, of course, was that he did not say it and he did it, whereas we said it and would have done it had we been given the opportunity to do so.the chancellor rightly speaks about the need for social justice in our country and for our tax and expenditure policies to reflect that ambition. my constituents are pleased about that, naturally ” everyone should be pleased about it ” but it would be sensible for hon.",Others,Pro-independence,1,Pro-independence
125,42445,Plaid Cymru,Jonathan Edwards,"it is interesting that sir mervyn king, the former governor of the bank of england, and sir john vickers, the chair of the independent commission on banking, which was set up following the crash in 2008, have called for greater safeguards and criticised the treasury for watering down plans to rein in the banks and reduce the risk of a future banking collapse. given the darkening global economic skies and the possible exposure of london banks to the slowdown in emerging markets, we were very disappointed that there were no measures in the budget to protect the public from another banking failure.we are also very disappointed that there was no guarantee in the budget that welsh public sector pension assets would be pooled into a welsh-specific fund for investment in welsh infrastructure. it is important to recognise the reputation associated with a name built up over such a long period.",Others,Unrelated,2,Unrelated
126,34298,Liberal Democrat,Mr. Beith,"why does not the chancellor seize the opportunity to lock in that monetary discipline and make himself the first chancellor to recognise the merits of an independent central bank while still in office, rather than waiting until he has left it? my joke the other day may have been misunderstood. beith), but i warn him that there are much bigger and more serious matters of parliamentary accountability to be addressed before anybody makes a decision one way or another about the independence of a central bank.",Others,Unrelated,2,Unrelated
127,45252,Scottish National,Ian Blackford,"let us accept some responsibility where it is necessary to do so. the snp™s approach to creating scotland™s reserves, which would be a fraction of those of other countries, is to borrow. the snp™s proposition for independence is to continue to use the pound while setting up its own central bank, being a scottish lender of last resort and borrowing tens of billions of pounds to create reserves for a new currency.",Others,Unrelated,2,Unrelated
128,41676,Liberal Democrat,Robert Smith,"gentleman is putting an emotional case for independence, but he is not taking on board the wise words of the governor of the bank of england who talked about the illusion of independence if an independent scotland keeps the pound sterling. the voice of scotland will be taken away from the decisions that will affect its very core monetary policy. that is the effect of the discipline of the eurozone.scotland could, of course, go for the sterling currency union ” the latest wheeze ” which is a mini copy of the eurozone with the fiscal interests of control in the larger economy.",Others,Unrelated,2,Unrelated
129,32814,Liberal Democrat,Mr. A. J. Beith,"lawson), in his intervention on tuesday, about the independence of the central bank. a number of conservative members share my interest in that idea and my belief that the lack of independence of britain's central bank is a weakness in our tackling of inflation.  one of the merits of a european central banking system which enjoys some political independence is that it could provide an anti-inflationary mechanism which was not so subject to the short-term whims of politicians as elections approached.",Others,Pro-independence,1,Pro-independence
130,33549,Liberal Democrat,Mr. A. J. Beith,"i still wonder what happened to the paper produced by the right hon. member for blaby may not like the idea of a european central bank, but he is clearly on record as saying that he believes that in this country's economy an independent central bank would be a guarantee against inflation. indeed, it would have done some good to have one when he was chancellor of the exchequer, as it would have made a significant difference to some of the measures that he took, which stoked the fires of inflation.",Others,Pro-independence,1,Pro-independence
131,33660,Liberal Democrat,Mr. Beith,"member for derby, south. i should be much happier if i knew that the central bank would decide interest rate policy on the basis of price stability and maintaining sterling's position, and that future ministers in any party would have nothing to do with that decision ” that they would get on with the job of managing fiscal policy and providing the infrastructure that the economy requires.  if control of interest rates were taken out of the hands of politicians and given to an independent central bank, the fight against inflation would be continued all the time, and the problem of governments going soft on inflation  ” particularly in the run-up to general elections ” would be avoided.",Others,Pro-independence,1,Pro-independence
132,36094,Scottish National Party,Mr. John Swinney,"member for hackney, north and stoke newington ” the government have absented themselves from setting an effective fiscal policy that could counterbalance the pursuit of that monetary policy by the bank of england. the indications of what the government are prepared to do, and what they were prepared to do when they came to office, to address any aspects of economic management have been compromised by the government's unwillingness to address fiscal issues, and by their willingness to hand power to an independent bank of england.  there is a contradiction in the arguments that have been advanced on that subject.",Others,Unrelated,2,Unrelated
133,33219,Liberal Democrat,Mr. Beith,"he will also have to face attacks from conservative members who do not want to have anything to do with a single currency or central bank independence. they want none of it.  whether or not the proposal for a hard ecu would ever work, it does not face up to what i believe to be the key issue in the whole debate about monetary union: what form of accountability should exist for community financial institutions.",Others,Unrelated,2,Unrelated
134,39428,Liberal Democrat,Julia Goldsworthy,"however, the issue that he raised was not to do with that, but with who took on oversight of the banks. the way it did so was to spend as little as possible on maintaining the network. i welcomed the creation of network rail, which was a lib-dem proposal ” one of the ones that the government nicked, dare i say, along with many others, including independence for the bank of england and so on.",Others,Pro-independence,1,Pro-independence
135,36593,Liberal Democrat,Mr. Brian Cotter," liberal democrats were pleased when the government gave the bank of england independence as a way forward for the economy, a policy which we had advocated for many years. it is happened because of the measures that the government have taken. granting the bank of england operational independence on the management of monetary policy made a direct contribution towards the success with inflation, as has the principle of using inflation targeting.",Others,Pro-independence,1,Pro-independence
136,36103,Liberal Democrat,Mr. Malcolm Bruce,"the chancellor pressed the opposition for clarification on several occasions on the subject of the bank of england without receiving any coherent answer. the rhetoric appears to be that it was wrong to give the bank of england independence and that it should be taken back under political control, which should then be used to reduce interest rates regardless of the implications for inflation. that is a classic example of treating the economy of a family or a business as if it were the economy of a nation.",Others,Unrelated,2,Unrelated
137,36228,,Unknown,"tomorrow, so that competition will be encouraged for the long-term needs of the economy and consumers, the secretary of state for trade and industry will set out a new competition policy for our country.  these raids are becoming such a habit that i had thought of offering the chancellor honorary life membership of the liberal democrats. starting with giving independence to the central bank ” the bank of england ” which was our manifesto policy, not labour's, he seems to have applied more policies from our last general election manifesto than he has from labour's.",Others,Pro-independence,1,Pro-independence
138,36130,Liberal Democrat,Mr. Bruce,"indeed, i do not know when they will review their policy given that the shadow secretary of state for trade and industry has said that 2002 will be early enough for the tories to make up their mind whether the bank of england should stay independent. as has already been quoted, however, the shadow chancellor has certainly said that either we should have complete political control, or the bank should be completely independent. it has been difficult in recent months to meet, anywhere in the country, any industrialist of experience ” certainly anyone who has worked in the exporting industries ” who believes that the bank of england has been getting its monetary policy right.",Others,Unrelated,2,Unrelated
139,36368,Liberal Democrat,Mr. Edward Davey,"allowing the bank to set the inflation target itself would be a strong move towards independence, and it would reassure markets of the bank's credibility.  as the government promote convergence and prepare, through the changeover plan, to move towards the single currency, they will be required to change the statutory framework for the independence of the bank of england, as the hon. member for guildford (mr.",Others,Pro-independence,1,Pro-independence
140,34362,Liberal Democrat,Mr. Beith,"he pointed out that, for many people who take his view, there would be attractions in having an independent central bank in this country, rather than our being involved in a european central bank. i take a different view. budgen) intended to produce this bill, knowing his well-known opposition to the maastricht treaty, with its great emphasis on the establishment of, first, an independent.",Others,Unrelated,2,Unrelated
141,35989,,Unknown,"resolved,that this house welcomes the measures the government has taken to build an economy which is healthy and sustainable in the long term, including placing the control of interest rates with the independent bank of england; notes that over the last 12 months investment has grown by 7 per cent., 14,000 manufacturing jobs have been created and the public finances have been put in order; welcomes the new culture of partnership in industrial relations which is developing within the framework of measures and proposals the government is taking forward; urges the government to continue its own productive partnership with both business and employees; and condemns the opposition for its own record in government of allowing manufacturing to decline within a boom and bust economy of unprecedented proportions and actively and sustainedly destroying partnership and democracy in the workplace. the government's central objectives are high and stable levels of growth and employment and sustainable public services, built from a platform of long-term stability. to achieve this, two fundamental economic reforms have been undertaken for the long term: to take monetary policy out of party politics through operational independence for the bank of england; and to impose a new framework of financial discipline by applying fiscal rules that achieve a current budget balance and prudent levels of debt to national income.",Others,Pro-independence,1,Pro-independence
142,36123,Liberal Democrat,Mr. Ashdown,"the government have made good early progress towards monetary stability by granting independence to the bank of england last year, as we have long recommended. good, but are they prepared to back that up with the measures necessary for fiscal stability and exchange rate stability? those factors are a direct result of the government's mistakes on economic policy.",Others,Pro-independence,1,Pro-independence
143,35891,Liberal Democrat,Mr. Brian Cotter,"we would like to hear their answer. the former conservative chancellor berates the new monetary system in the uk while supporting the single currency, which would also require an operationally independent central bank.  the tories clearly have much thinking to do, but so do the government.",Others,Unrelated,2,Unrelated
144,35564,Liberal Democrat,Mr. Ashdown,"the measures include incorporation of the european convention on human rights ” but what do the government mean by saying, ""just the main provisions""? ” the general teaching council for teachers, the independent food standards agency, a statutory right to interest on late payment of debt, independence for the bank of england ” the list goes on. it is said that the government are enacting their manifesto.",Others,Unrelated,2,Unrelated
145,34053,Liberal Democrat,Russell Johnston,"we regret the opt-out and, logically, regret the unwillingness of the government to take the other consequential steps, particularly making the bank of england independent as a prelude to the establishment of one european community central bank.  it is not often that i agree with the hon. member wished to raise matters that are meant to be disposed of for ever, not just for this year or next year, not determined by a general election, as all that has been swept aside.",Others,Unrelated,2,Unrelated
146,33078,Liberal Democrat,Mr. Beith,smith) made labour's position quite clear in his response to my earlier intervention. he said that the labour party would have none of that and did not want an independent autonomous central bank. he is at one with the government in that.,Others,Unrelated,2,Unrelated
147,36103,Liberal Democrat,Mr. Edward Davey,"that is an important theoretical issue, with practical implications because of the independence of the bank of england and the way in which fiscal policy, set in the short and medium terms, affects its decisions.  there are three ways in which fiscal policy helps in managing the economy.  similarly, the rhetoric of today's chancellor is important in relation to the decisions that private sector agents take.",Others,Unrelated,2,Unrelated
148,35592,Liberal Democrat,Dr. Vincent Cable,"independent central banks provide that.  the reason why it is important for central banks not to suffer day-to-day political intervention is that it is difficult for such intervention to be successful, because of the long lags in economic policy. they ” or, rather, their predecessors ” should have acted in advance of inflation appearing.",Others,Pro-independence,1,Pro-independence
149,38911,Liberal Democrat,Julia Goldsworthy,is he prepared to give up that control and fall into line with the code relating to ministerial appointments? i remind the hon. lady that the conservative party opposed the legislation for independence of the bank of england.,Others,Unrelated,2,Unrelated
