id	text	majortopic
1444	Norway wants to restrict EEC fishing rights	0
1445	BBC reporter goes to jail for refusing to name man	0
1446	Promise by Spain to clarify air tour ruling	0
1447	Police guard on Irish victim flown to Britain	0
1448	Threat to Security Council seat denied	0
1449	Mr Rippon sees a threat to talks in confusion over sugar proposal	0
1450	Currency changes put up holiday prices by 3 pc	1
1451	Mark to float until Six agree on reforms	0
1452	Armed police search for gunman	2
1453	Nine Jews face anti-Soviet charges	0
1454	Mr Sadat sweeps away last vestiges of Nasser administration	0
1455	Six probation officers drop court duties in protest	2
1456	Bobby Seale charges dismissed by judge	2
1457	A confident Mr Sadat welcomes Soviet leader	0
1458	Labour leaders move towards opposition to EEC entry	0
1459	Mafia link denied by London club man	2
1460	Istanbul crowds rejoice as kidnapper is killed and girl hostage rescued	0
1461	Scotland Yard inquiry into record charts	2
1462	Death toll rises rapidly in cholera outbreak	0
1463	Indian townspeople turn on refugees squatting in mosques and houses	0
1464	EEC price rises 'will be less than feared	0
1465	Mr Barber resists move for reflation	1
1466	Champagne ready as EEC and Britain agree on New Zealand exports	0
1467	Duke insists he is still a neutral on Market	0
1468	Mr Nixon rules out tax cuts and mandatory wage controls	0
1469	Food prices up 10.4% in 11 months	1
1470	Yard fire squad searches for London arsonist	2
1471	Gang war fears after New York shooting	2
1472	Some Tories disillusioned over economic policy	1
1473	Mr Heath to address the nation on terms for British EEC entry	0
1474	Britain warns Six that it may claim special treatment for Shetland	0
1475	Union threatens ITV blackout within 10 days	0
1476	Crown tell jury not to believe Yard officer	2
1477	Body in car ends triple murder case hunt	2
1478	Call for broadcasting council	0
1479	Mr Maxwell sues ministry after report says he was reckless	2
1480	Reply to BBC invitation is delayed	0
1481	Peking sets its terms for accord with Washington	0
1482	Few signs of spending spree as HP terms are revised and tax cuts passed on	1
1483	Å100,000 raid at pierhead	2
1484	Three held in search of Palace gardens	2
1485	Apollo astronauts fly over Soviet Lunokhod	0
1486	Gold reserves at peak level	1
1487	Dublin sends minister for Home Office talks	0
1488	Pakistanis call off the Kennedy mission	0
1489	Child murdered in spinney	2
1490	Mr Brezhnev likely to visit Yugoslavia	0
1491	EEC may try to end chaos by joint floating of currencies	0
1492	Marijuana in Central Park	2
1493	Mr Nixon assured of Congress support	0
1494	Group of Ten likely to discuss measures at the weekend	0
1495	America places China proposal on UN agenda	0
1496	Wall Street gains as prices fall in Japan	1
1497	Tokyo concession may lead to ending of world currency crisis	1
1498	Ten minutes of Copenhagen sex-shows sickens Lord Longford	2
1499	Rise in violent crime shown as storm grows on police warning	2
1500	CID miss murder hunt man by minutes	2
1501	Eleven men at police station after 32 raids	2
1502	Agonizing loss' by Angela Davis	0
1503	A Titian is stolen from church	2
1504	Woman 'drove Sewell away in car boot	2
1505	Soledad lawyer charged with murder	2
1506	Japan warns America that it has power to hit back on trade	0
1507	Two Bellinis vanish from Venice church in second big theft within a week	2
1508	Police with guns besiege a bungalow	2
1509	Guards battered in top security jail	2
1510	Newspapers are delayed by union meetings	0
1511	Five more wounded in shooting incidents	2
1512	More power to make thieves pay	2
1513	Dean tells court when law may be defied	2
1514	Barber plan for 'paper-gold standard' to end currency crisis	1
1515	Lady Fleming is given heaviest sentence	2
1516	Dr Kissinger to visit Peking for new talks	0
1517	Brussels report of another Soviet defector	0
1518	CDU attack on Herr Brandt	0
1519	Man hurls coat at Emperor Hirohito's coach	0
1520	Lonrho director held on fraud charge	2
1521	The Times 1000	0
1522	Mr Nixon going to Moscow after his journey to Peking	0
1523	S Africa told to respect Zambia	0
1524	Scotland Yard tip leads to art haul	2
1525	Two shot in Å50,000 City jewel raid	2
1526	ITV Big 5 planning for another channel	0
1527	Shadow Cabinet turns down Wilson plan on EEC vote	0
1528	EEC 'listing grievances' over US trade policy	0
1529	Lady Fleming to get court hearing	2
1530	Sir Alec hopeful for East-West detente	0
1531	Nine-week fast by priest in S Africa seems likely to end in his death	0
1532	Bound and gagged man is found dead in day of riots and shooting	2
1533	Kennedy attack 'ignorant	0
1534	Accused British boy tells of life in Istanbul prison	0
1535	Washington believes expulsion of Taiwan will damage UN	0
1536	Turkish Cabinet decides to offer resignation	0
1537	Congress latest target for Nader's raiders	0
1538	Mr Wilson promises long Market battle	0
1539	Nobel award for physics won by Briton	0
1540	EEC fisheries plan rejected by Britain	0
1541	Value-added tax law delayed until spring Finance Bill	1
1542	Producers accuse ITV of ban on IRA	0
1543	Nine men in football kit escape from Belfast jail	2
1544	Emperor of Japan talks to press for first time	0
1545	Lord Hill defends 'partiality ' of BBC	0
1546	Fishery deadlock should not delay EEC entry, Mr Rippon says	0
1547	Ministers accept setback in signing until January	0
1548	Iraq breaks its links with Britain	0
1549	Passport was handed to wanted man	2
1550	Mr Heath dismisses tax cut reports as 'press speculation	1
1551	Eire takes internment to European court	0
1552	American financier held in Switzerland	0
1553	Arson check after six die in blaze	2
1554	British wine will not be wine in the Market	0
1555	Mr Heath awarded prize of Å36,000 for his services to Europe	0
1556	Investigation into Leeds police	2
1557	Libya expelled from sterling area	0
1558	All postwar credits to be paid in 1972	1
1559	Breath test for Mr Healey	2
1560	Promised dollar devaluation likely to be in region of 8 per cent	1
1561	Austrian diplomat chosen by UN as successor to U Thant	0
1562	No jury for Rothermere libel case	2
1563	Jenkins hint of Labour readiness to tax Queen's private fortune	1
1564	Mr Solzhenitsyn among big crowd at funeral of Soviet editor	0
1565	Explosion kills six in Paris apartment block	0
1566	Another two summits arranged by Mr Heath	0
1567	Shaikh Mujib will be released but put under house arrest	0
1568	Mr Bhutto seeks plebiscites in both East Bengal and Kashmir	0
1569	Television debate on Ulster to be postponed	0
1570	Mr Lindsay enters contest for U S Presidency	0
1571	Soviet envoy returning to Britain	0
1572	Priestley article sets off storm in an eggcup	0
1573	BBC rejects Mr Maudling's rebuke over tonight's Ulster television 'tribunal	0
1574	Mr Muskie promises a 'new beginning' as he opens presidential campaign	0
1575	UN official negotiating in Pakistan for the release of Shaikh Mujib	0
1576	President Bhutto flies to see King of Afghanistan	0
1577	Decision on second ITV channel to be shelved	0
1578	Million mark expected for unemployed	1
1579	Release on parole for Mr Vassall	2
1580	US lifts ban on Rhodesian chrome	0
1581	Lord Widgery to sit as one-man tribunal on Londonderry clash	2
1582	Detective says he never took a bribe	2
1583	Police question hippies in murder hunt	2
1584	Lawyers in Ulster losing faith in justice	2
1585	Thousands stage noisy but peaceful procession with some of the pageantry of a Durham gala	2
1586	Sir Alec called back from tour to vote on EEC Bill	0
1587	Mr Nixon's campaign manager named	0
1588	Majority in votes on EEC Bill rises to 30	0
1589	Attack was first blow in campaign planned by Dublin terrorists	0
1590	Detective's counsel tells jury: 'Shed no tears	2
1591	Six-month sentence on girl who threw ink at Mr Heath in Brussels	2
1592	RUC reservists take up full-time duties	2
1593	Mr Mintoff in Rome today for more talks	0
1594	Three Yard men are cleared	2
1595	Muskie win in New Hampshire blunted by Mr McGovern	0
1596	Mr Jenkins awarded Europe unity prize	0
1597	Hostility to Turkey is upsetting drugs boy	0
1598	King Husain reveals Palestine plan today	0
1599	Wallace walkover in Florida and a setback for Senator Muskie	0
1600	Congress Party routs Marxists in W Bengal	0
1601	Å 1 a week more for 21m earners and Budget boost for industry	1
1602	Not enough for poor, Mr Feather says	1
1603	Everybody draws a lucky number as the Chancellor takes a chance on inflation	1
1604	Youths burn down two Catholic homes	2
1605	Turks refuse deal for kidnapped Britons	0
1606	The Times 'wins three national press awards	0
1607	Solzhenitsyn ceremony in jeopardy as Russians bar Nobel representative	0
1608	Yard squad seizes gang arms in raids	2
1609	Cameraman may have filmed Å25,000 raid	2
1610	Fischer's climbdown is not enough for Belgrade	0
1611	More pro-Marketeers resign	0
1612	M Pompidou seeks massive Yes	0
1613	Moscow alleges British pressure on its diplomats	0
1614	Tense time for spacemen as navigation system jams	0
1615	Labour abstainers add to EEC majority	0
1616	CDU are convinced they can overthrow Herr Brandt	0
1617	Apollo 16 man's float-walk in deep space	0
1618	Britons' 12-year sentences for carrying hashish	2
1619	Vietnam discussed on secret Moscow visit	0
1620	Early Indiana results point to Humphrey win	0
1621	Italian electors upset experts' forecast	0
1622	Bonn says vote is likely today on Eastern treaties compromise	0
1623	Mr Wallace, now off critical list, heading for big victory in the Maryland primary	0
1624	Mr Connally seen as Nixon running mate after surprise Cabinet resignation	0
1625	MPs win VAT concession on children's shoes	1
1626	Republican Paris pays its tribute to royalty	0
1627	How African people's opinion was obtained	0
1628	Quito hijacker shot dead on seized airliner	0
1629	Nixon visit bears its first fruits	0
1630	Japanese gunmen shoot 20 dead in suicide raid at Tel Aviv airport	0
1631	M Desramault fails to bring baby to court	2
1632	South Africa forbids apartheid protest	0
1633	Warning by France: EEC is not irreversible	0
1634	Increase to crimes but more solved	2
1635	Dr Castro suffering from heart trouble	0
1636	Appeal Court's ruling on shop stewards seen as blow to government aims	2
1637	Breath test for Lord George-Brown	2
1638	Mr Heath in Commons clash on Healey devaluation prediction	1
1639	Girl is found murdered on hostel balcony	2
1640	Democrats see 'bugging' link with White House	0
1641	Labour reject EEC budget treaty	0
1642	Mr Heath defends action on pound as the right 'temporary' choice	1
1643	Pound 4% lower after first day's dealings	1
1644	Criminal law revision proposals received with heavy criticism	2
1645	Sharpest drop in reserves in more than three years	1
1646	Pompidou warning to fix pound before EEC entry	0
1647	Mrs Desramault given custody of daughter	2
1648	Triumph in decisive vote on California	0
1649	Three Apollo 15 astronauts are disciplined	0
1650	Scotland Yard fraud expert will be in charge of investigation	2
1651	Progress in talks on inflation curbs	1
1652	Herr Brandt seeks joint European policy to combat inflation spiral	0
1653	Cairo radio prepares Egypt for merger	0
1654	Kenya seals border with Uganda to keep out expelled Asians	0
1655	White and coloured youth gangs riot for four nights	2
1656	General Amin refuses to alter deadline	0
1657	General Peron 'will return to Argentina	0
1658	President Amin changes his mind and drops plan to evict all Asian citizens from Uganda	0
1659	Officers try to ease tense situation	2
1660	Mr McGovern unveils plans to close tax loopholes in hostile territory	0
1661	Two Bonn ministers quit over fees	0
1662	Britain to lend Egypt Å20m for civil projects	0
1663	English woman murdered in Chicago park	2
1664	Home Office is holding Mr Chen in prison	2
1665	Mr Cheng's case may go to the Lords	2
1666	Invitations to summit expected on Friday	0
1667	Terrorists warned of Israel's 'long arm	0
1668	Drug seizures in Britain now Europe's biggest	2
1669	Regret from Egyptian Foreign Minister	0
1670	Senior Scotland Yard officer is suspended	2
1671	Longford committee proposes new laws to make it easier to prosecute the pornographers	2
1672	Uganda Asians' leaders complain British officials are delaying the exodus	0
1673	Mr Feather sees possibility of strong counter to inflation	1
1674	Confusion and doubt as Norway faces a future outside EEC	0
1675	Gen Amin 'postpones deadline	0
1676	China launches violent attack on Russia at UN	0
1677	Resignation of Danish Prime Minister after EEC victory	0
1678	Tax-credit plan is aiming to give more income to millions	1
1679	Dispute stops production of 'The Sun	0
1680	Fourth day of Paris talks for Dr Kissinger	0
1681	Belgrade gives Queen enthusiastic reception despite political crisis	0
1682	Sterling falls to its lowest level ever	1
1683	London theory on illness afflicting General Amin	0
1684	Yard man to be Chief Inspector of Constabulary	2
1685	Nationals of EEC will be free to enter UK	0
1686	Mr Heath insists country will respond to firmness on incomes and prices aim	1
1687	Police win 15% rise spread over two years	2
1688	38-day libel action ends	2
1689	Conservatives' single-seat victory in Canada could mean fresh poll	0
1690	Girl who took baby for 15 minutes jailed	2
1691	Landslide sweeps Mr Nixon back for another four years of power	0
1692	Democrats' bastions in industrial towns fall one after another	0
1693	One chance is enough, Mr McGovern says	0
1694	Reputed Mafia chief arrested in Miami after odyssey through six countries	2
1695	Republicans not likely to control Congress	0
1696	Thalidomide article in contempt, Crown says	2
1697	Former drug squad men are accused	2
1698	BBC angers Stock Exchange chairman	0
1699	Two guilty of forgery in 'shilling will' case	2
1700	Victory claimed for M Desramault after Swiss court delays decision on custody	2
1701	Judge recommends minimum of 30 years' jail for man found guilty of Aldershot bomb deaths	2
1702	Mr Jenkins urges more effective power to build up stronger European Parliament	0
1703	Sean Mac Stiofain says he is on hunger strike in prison	2
1704	Chicago Seven' men cleared by appeal court	2
1705	Iceland talks break down with rejection of British proposals	0
1706	Government's 5% growth rate is unrealistic, CBI leader says	1
1707	Drugs Bill reflects children's plight	2
1708	Exchange of prisoners suggested	2
1709	Mr Jenkins to put argument against boycott of EEC	0
1710	Man tells how son escaped from kidnapper	2
1711	Mr Truman dies after long battle for life	0
1712	Aid appeal opened in Britain	0
1713	EEC chief says Community needs injection of democracy	0
1714	Mr Heath claims balance of power role for Europe	0
1715	Shot youth gives Belfast police false address	2
1716	White Paper soon on firm inflation controls	1
1717	Three Americans Jailed	0
1718	M Pompidou irritated by socialist congress	0
1719	Police admit mistake over sniper	2
1720	Actors call mass meeting on pay cut	0
1721	British MPs submit their plan for reforming the European Parliament	0
1722	Plans to stop unfair price increases after VAT	1
1723	Lunokhod is ready to explore the Moon	0
1724	Court of Appeal bans TV screening of Warhol film	0
1725	No prosecution on 'Sunday Times' rail cuts disclosure	0
1726	Eleven named in bid for London radio	0
1727	Lyndon Johnson will be buried in the hills of Texas after state funeral	0
1728	Angry Heath denial on tougher inflation plans	1
1729	Tension over US monetary relations with Europe will dominate Washington talks	0
1730	Farmhouse gunmen seized in Hague drama	0
1731	Thalidomide article ban unfair, court told	2
1732	W Germans use $ 1,200m more in support of the ailing dollar	1
1733	Language and nudity code for BBC producers	0
1734	Decision on dollar leads to effective 5Ë per cent devaluation of pound	1
1735	Question time in European Parliament gets off to wordy but promising start	0
1736	Libel action to be heard by jury, Court of Appeal rules	2
1737	Mrs Desramault wins action but case may reopen	2
1738	Police shoot dead two Pakistanis in Aldwych	2
1739	Banning orders on students shock S Africa	0
1740	Sergeant accused of triple murder attempt	2
1741	Budget concessions to pensioners and VAT relief for children's wear	1
1742	British firms go on the defensive over Africans' wages	0
1743	Mother of two accused of baby's murder	2
1744	A diplomatic donation to Nixon fund came late	0
1745	Eire welcomes proposals	0
1746	Son of murdered Briton 'absolutely free' to go after six-hour interrogation	2
1747	Violence as Athens police raid faculty	2
1748	Timothy Davey's mother must stay in Turkey	0
1749	Blackpool killings doctor 'known to be ill	2
1750	Dawn raid after tip on murder of soldiers	2
1751	Britain asks EEC for freeze of farm prices	0
1752	Cheap-rate telephone calls ended by VAT	0
1753	No Cabinet post for pillar of Gaullist orthodoxy	0
1754	Colonel Gaddafi tells Arabs that Israel will again win if they hesitate now	0
1755	Republicans join in attacks over the Watergate affair	0
1756	Harold Evans is Journalist of the Year	0
1757	U S space firm shows interest in Concorde	0
1758	M Messmer unveils policy of modest social and constitutional reform	0
1759	Mad Hatter squabble over mountain of butter	0
1760	Nixon move to redress US trade balance	0
1761	Lebanon says Israeli raiders used cars hired three days ago	0
1762	Chief of staff exultant in Tel Aviv interview	0
1763	Mr Nixon orders aides to appear before Senate's Watergate bugging inquiry	0
1764	Press publishers protest at May 1 stoppage	0
1765	Mr Wilson defends Czech visit	0
1766	Commission modifies EEC farm prices plan	0
1767	Briton in bank raid check held in Spain	0
1768	FBI agents move into the White House	0
1769	Niesewand conviction quashed but still in iail	2
1770	High Court in Belfast orders extradition of three men to the republic	2
1771	Britain's new man at UN	0
1772	Harbour body: three charged	2
1773	Lonrho chief deceived board and concealed information, court told	2
1774	Mr Dean an early witness at Senate inquiry	0
1775	Barn case man turns his back on trial	2
1776	French deplore controversy in Cartland case	0
1777	Britain enjoys strongest boom in industrial production since early 1964	1
1778	Overheating puts Skylab mission in jeopardy	0
1779	Nixon proposal of 6-year term for Presidents	0
1780	President Nixon admits cover-up by White House on Watergate	0
1781	Antiguan accused of killing British widow	2
1782	Bill to protect the rights of tribunal witnesses	2
1783	High-ranking Briton' and brothel scandal	2
1784	James McCord speaks of efforts to make him implicate CIA	0
1785	Romanian cyclists settle in at the pub while awaiting Home Office decision	0
1786	Bugging of Chinese 'foiled sex recording	0
1787	Mr Heath and Herr Brandt meet informally	0
1788	The Times' and ITN poll	0
1789	President Pompidou to curtail duties	0
1790	Colour bar ruling may split father from girl	2
1791	Mr Ehrlichman claims that Mr Mitchell approved bugging	0
1792	Court rejects move to stop German treaty	0
1793	Angry Chrysler pickets get warning from police	2
1794	Judge rejects Watergate prosecutor's call to stop TV coverage of hearings	0
1795	Hyams block let as full rates charge is authorized	1
1796	Å400 fines in curbs on pyramid selling	2
1797	Police inquiry into Chrysler violence claim	2
1798	Pompidou hint that he will stand in 1976	0
1799	Senior council officials 'will not aid Poulson case inquiries	2
1800	Key Watergate witness 'borrowed $4,000 from fund to pay for honeymoon	0
1801	Wimbledon boycott after Pilic fails in High Court case	2
1802	Nine reach joint position for world trade talks	0
1803	Mr Dean says he will take lie detector test	0
1804	Judge praises corruption trial reporters	2
1805	Phase Three wage deals may be linked with price rise battle	1
1806	Greeks arrest former Foreign and Defence Ministers	0
1807	Secrecy pledge by Durham police	2
1808	Helsinki talks begin with Gromyko call for cooperation	0
1809	Artificial insemination for prisoner's wife refused	2
1810	Mr Heath will not call off Portuguese state visit: massacre denied by Lisbon	0
1811	Embassy issues angry reply	0
1812	Alderman resigns as police authority chairman	2
1813	Mr Mitchell admits he kept President in dark	0
1814	Nine arrested during protest outside Buckingham Palace	2
1815	Children, 11, are found murdered beside bridlepath	2
1816	TV strike over two stakes	0
1817	President prohibits evidence by Secret Service about tapes	0
1818	President Nixon expected to ignore subpoenas over tapes	0
1819	Å10m plant uncovered in forgery raid	2
1820	Mozambique secret police keep an eye on correspondent from The Times	0
1821	Hijackers blow up jumbo as 137 escape	0
1822	British families flying out of Cambodia	0
1823	President Amin asks Queen for a plane	0
1824	Attempt by priest to impeach Mr Nixon	0
1825	Senate committee angry at hearing of tapes	0
1826	Europe space agreement	0
1827	Mr Barber optimistic on monetary reform	1
1828	Germany is told of gloomy trade prospects	0
1829	Lakeland arrest in Barn case	2
1830	Vice-President Agnew says bribery investigation will clear him of any wrongdoing	0
1831	Nixon case for right to secrecy	0
1832	Girl with gun falls from car in Ulster chase	2
1833	Union to defy court order for Å2,800 compensation	2
1834	Dawn police swoop to eject Lip workers	2
1835	Kennedy son charged: Mrs Ethel Kennedy	0
1836	Mr Nixon broadcasts tonight on Watergate	0
1837	Soames rejection of 'vituperative' attack by French over sugar	0
1838	America hits at Israel over plane seizure	0
1839	Morocco to take over Britons' villas	0
1840	Murder charge after girl found	2
1841	Freed Mr Panagoulis still proclaims his defiance of 'comic little colonel	0
1842	Letter bomb found at embassy in Paris	0
1843	Arson, murder suspected in hotel fire	2
1844	Solzhenitsyn speaks of threats against his life	2
1845	Pound loses 1 Ë US cents	1
1846	France expels Swiss pastor who gave new hope to immigrant workers	0
1847	Vienna police seek youth after letter-bombs explode	0
1848	Secret Ellsberg indictments	0
1849	Law professors in battle for Nixon tapes	0
1850	Girl aged nine given 18 months' detention	2
1851	Easing of price controls in Phase Three urged	1
1852	Agnew comment about resigning was made while 'in a dark mood	0
1853	Senate blow to Nixon hopes for detente	0
1854	Spain holding 47 Britons for drug offences	0
1855	Mr Agnew takes his case to Congress	0
1856	Fall in US money rates seen as hopeful sign	1
1857	Skylab crew splash down successfully in Pacific	0
1858	12 arrested for plotting to kill or kidnap Shah of Iran and his family	0
1859	Armed hijacker foiled by airliner's crew	0
1860	Mrs Meir attacks 'sinister role' of Russia	0
1861	Dr Kissinger shares Nobel prize with Le Duc Tho	0
1862	The Times	0
1863	Mr Nixon surrenders over Watergate tapes as impeachment action begins	0
1864	DPP asked to look into allegations of forged documents for paintings	2
1865	More fire bombs warning	0
1866	M Pompidou to visit Chequers next month for EEC consultations	0
1867	Mr Cox admits leaking Nixon order to halt ITT action	0
1868	Dutch motorists barred from Sunday driving	0
1869	Mrs Meir to visit US as Israel fears on concessions grow	0
1870	EEC takes united stand on Middle East peace	0
1871	Mr Vesco is arrested in the Bahamas	0
1872	Harmful lawyers attacked	2
1873	New evidence on 'non-existent' Nixon tapes	0
1874	Six-point Kissinger plan disclosed	0
1875	Two-tier gold agreement terminated	1
1876	Europe tour by Arabs to explain oil boycott	0
1877	Mr Maxwell to rejoin Pergamon's board	0
1878	Compromise on form of EEC summit	0
1879	Dr Kissinger to lose his senior aide	0
1880	Hijacked jet lands again at Dubai after being turned away from Turkey and Aden	0
1881	Court listens to 18-minute 'gap' on Nixon tape	0
1882	Thirty-two men held after police raids	2
1883	Dutch hint of EEC delay tactics if oil is not shared	0
1884	Demand for judge's dismissal is 'not decent	2
1885	Fight for survival, CBI chief says	1
1886	Nixon setback as Bill on trade is passed	0
1887	Rockefeller resignation puts him in line for 1976	0
1888	Hostages set free as hijackers surrender	0
1889	No prison for many people remanded in custody	2
1890	EEC in grave crisis as Britain matches Bonn move on regional fund	0
1891	Gains by Likud cut into Mrs Meir's majority	0
1892	Economies 'should see us over winter	1
1893	Police seeking young man after shooting of Mr Sieff	2
1894	Expert report implies that erasures on Nixon tape were deliberately made	0
1895	Myra Hindley charge likely	2
1896	Mr Walker will fly to sign deal with Shah	0
1897	Broadcast for Labour brings ITN strike call	0
1898	Mr Nixon is ordered to appear in court	0
1899	Belgium faces election on failure to form coalition	0
1900	Share prices and pound drop	1
1901	EEC sets limits to energy talks	0
1902	Hearst daughter kidnapped	2
1903	Dr Kissinger going to Moscow to prepare Nixon visit	0
1904	Mr Wilson makes new terms for EEC entry an election issue	0
1905	Liberal manifesto says inflation is major issue	1
1906	Hearst girl sends ransom plea	2
1907	Solzhenitsyn arrested in his Moscow flat on unknown charges	0
1908	Dayan threat to stay out of new Cabinet	0
1909	Former US law chief on trial for conspiracy	0
1910	Remand for woman on coach blast charge	2
1911	Mr Maxwell wins control of Pergamon	0
1912	Labour remedy for ailing economy could include controls on raw materials	1
1913	24-hr strike by 'Daily Telegraph' journalists	0
1914	Turkey sees 'indication' of sabotage in air crash	0
1915	Mrs Meir completing Cabinet after Dayan decision not to resign	0
1916	Emperor to give up part of his power	0
1917	Gang get Å179,000 in bank raid	2
1918	Lack of imagination and political will threatens EEC, Commissioner says	0
1919	Letter to 'The Times' says that Vermeer will be burnt on Sunday	0
1920	Loyalty to Mr Nixon grows fainter	0
1921	Mr Callaghan's aim is EEC changes without confrontation	0
1922	Uganda Asians can rejoin families	0
1923	Second Budget will follow later in year	1
1924	Record trade deficit of Å429m in February	0
1925	CBI is worried about investment needs	1
1926	Tax changes: other tables, page 2	1
1927	Swiss surprised that measures are not tougher	0
1928	M Pompidou dies suddenly at home aged 62: M Poher is acting President	0
1929	France again stands alone over US-European consultations	0
1930	Argentine protest fails to stop art sale	0
1931	Britain has begun 'serious renegotiation	0
1932	Mr Ford on possibility of Senate trial	0
1933	Gelignite found in taxi and bus used by jails	2
1934	Councillor remanded on explosives charges	2
1935	Property dealer says he burnt 'forgery' letter after threat	2
1936	Messmer attempt to be man of unity frustrated by M Chaban-Delmas	0
1937	Yard to see councillors in land deal inquiry	2
1938	Paul Foot is asked to see judge at court	2
1939	Miss Hearst believed to be in bank robbery	2
1940	Sentence halved on My Lai man	0
1941	Mr Wilson says referendum is almost certain on EEC issue	0
1942	Tory attempt to calm Strasbourg unease	0
1943	M Chaban-Delmas slumps as polls show Mitterrand surge	0
1944	Khrushchev memoirs look back in idleness	0
1945	Edited Nixon tapes show he told Mr Dean to pay Howard Hunt hush money	0
1946	Italy puts surcharge on imports	0
1947	Britain close to recognizing Lisbon regime	0
1948	Mr Field sues for libel	2
1949	Wilson hint of changes in laws for the press	0
1950	Timothy Davey to be freed under amnesty	2
1951	Gen Spinola's Cabinet is expected to include Communists	0
1952	Callaghan prescription to revive Atlanticism	0
1953	Last Tango' makers for trial	2
1954	Lord Shawcross is to chair Press Council	0
1955	Corruption claim over policemen's houses	2
1956	Commodity price falls may reduce inflation	1
1957	Mr Jaworski given Senate's backing	0
1958	UK 'broke human rights code' over Asians	0
1959	M Giscard's Cabinet brings break with Gaullist predominance	0
1960	More BBC television workers join strike	0
1961	Britain's partners respond to softer Callaghan line on renegotiation	0
1962	Dr Kissinger threatens to resign because of attacks on his honour	0
1963	Ailing Italy begins search for a government	0
1964	Strike may affect Fleet Street papers tonight	0
1965	Britain takes strong line with OECD in opposing tougher deflation policy	0
1966	Reflationary package being prepared	1
1967	Baronet's body found in locked room	2
1968	Arab terror killings 'threat to peace	0
1969	Five journalists named in press commission	0
1970	Emperor's grandson arrested in Ethiopia	0
1971	Cautious official view of one-parent families report	2
1972	Wilson-Giscard date set	0
1973	Portuguese Premier and four Ministers resign	0
1974	General Franco in hospital	0
1975	Deadlock in TV dispute, union says	0
1976	New tape reveals Mr Nixon knew of cover-up	0
1977	Mr Trudeau is swept back into power	0
1978	Strike pickets halt supplies to TV centre	0
1979	South Africans may relax rules on pass books	0
1980	Telephone calls to cost 50% more	0
1981	Baltic Exchange opens its doors to women members	0
1982	Mr Karamanlis returns to Greece to head national unity government	0
1983	Mr Nicos Sampson is replaced	0
1984	Wilson pledge to obey voters' ruling in consultative EEC referendum	0
1985	Sir Denys Lowson accused by inspectors	2
1986	OECD forecasts recession and record inflation for Britain	1
1987	Close vote on third article of impeachment	0
1988	Benn apology to Aims of Industry	1
1989	president Nixon tells his Cabinet he will fight to the end to stay in office	0
1990	Police officer at Red Lion clash is dead	2
1991	Inflation will not affect new savings schemes	1
1992	Bomb at Los Angeles airport kills two	0
1993	Police hold man in kidnap case	2
1994	Million homeless in Dacca as flood waters recede	0
1995	Disturbed boy of 11 kept locked in remand home	2
1996	Mr Benn to reassure industry on his aims	1
1997	Pleas to delay Watergate cover-up trial	0
1998	July trade deficit of Å478m was second largest ever	0
1999	MPs' group opposes income policy aim	1
2000	Mr Rockefeller is chosen as Vice-President by Mr Ford	0
2001	Government faces new Court Line questions	2
2002	Police hunt after baby is snatched	2
2003	King's grandson injured in bar attack	2
2004	Soyuz launch prelude to space link with US	0
2005	M Giscard urges EEC summit this year to seek political union	0
2006	Communist wins seat on general council	0
2007	EEC puts off decision on higher farm prices	0
2008	Iraq reacts to 'ill-treatment' over shoplifting	0
2009	Colwell case findings out today	2
2010	Tories' plan for price stabilization in 'one-nation' policy to beat inflation	1
2011	Inflation can be cut to 10%, Mr Healey says	1
2012	Mr Ford may pardon all Watergate men	0
2013	Nationalized industry is a failure, six in 10 think	1
2014	Terrorists free embassy hostages, collect Å130,000 ransom and fly out of Holland on mystery route	0
2015	Mr Vorster proposes talks on South-West Africa	0
2016	President Ford appoints new White House chief	0
2017	TV journalists threaten strike over pay	0
2018	Middle East talks call by Russians	0
2019	Mr Healey warns the world on threat of 1930s tragedy being repeated	1
2020	Chancellor emphasizes need to avoid mass unemployment	1
2021	Britain's inflation record in summer best of the Nine, Commission says	1
2022	Mr Wilson claims 3 in 4 want EEC poll	0
2023	Mr Wilson sees Mr Foot over dispute at ITN	0
2024	Peace prize for Japanese and Irish statesmen	0
2025	Mr Heath's warning of austerity ahead	1
2026	Inquiry into tortures at South African prison	0
2027	Mr Ford announces national programme to destroy inflation	0
2028	Mr Healey to aid company profits in Budget on November 12	1
2029	Sergeant accused of trying to pervert justice	2
2030	Mr Nixon 'used Mr Ehrlichman in cover-up	0
2031	Guards hurt as Maze rioters fire prison	2
2032	Cambridge astronomy gains Nobel Prize	0
2033	Fourteen countries waiting for Dr Kissinger	0
2034	Government plans over 40 Bills with pledge for reflationary Budget	1
2035	Wealth tax will be referred to select committee	1
2036	Mr Nixon's life hangs in the balance as shock sets in after operation	0
2037	Opposition peers to protest to BBC about noise of radio commentator in House	0
2038	Spanish Finance Minister quits	0
2039	Threat of stringent Budget by Mr Short	1
2040	Twenty in breakout from Maze prison	2
2041	Dr Kissinger calls for worldwide action to meet famine problem	0
2042	Political confrontation in strike-bound France	0
2043	Deflationary axe on public spending	1
2044	Nationalized industries prepare claims for big price increases	1
2045	Sacrificing standards now for future prosperity	1
2046	The White House admits US is in recession	1
