id,date_short,party,party_2,name,sents
491,1/28/1994,Labour,labour,Mr. Ken Livingstone," no doubt the prime force is that members of the house consider other nations that have had more successful economic policies and say, ""there is an independent central bank element to their success. if we could have an independent central bank we could be the same.""
 my hon. friend the member for hackney, north and stoke newington (ms abbott) pointed out the success of japan."
492,1/28/1994,Labour,labour,Mr. Ken Livingstone,japan consistently ran very high inflation until it established the basis of its growth. the japanese central bank is independent. there is a much more collective form of policy-making and task-setting in terms of japanese political leadership.
493,1/28/1994,Labour,labour,Mr. Ken Livingstone,"i am not surprised that a group of bankers in any society is going to be broadly sympathetic to parties of the right, and the case i have just cited is the clearest demonstration of that in recent times.  the bill is the first step towards the creation of an independent central bank. if we were to create such a bank, how would it be governed?"
494,1/28/1994,Labour,labour,Mr. Ken Livingstone," it is all very well for the bill to say that the government of the day could, in effect, issue an edict that will run for six months, but what would be the impact on the money market while that was being debated in parliament? what would it cost the british government in a possible drain on the pound if it were known that, while the independent bank of england was favouring one policy, the government of the day were having a public debate and a vote in the chamber one or two or three days hence to impose a policy to which the bank was opposed? it would mean a collapse in confidence."
495,1/28/1994,Labour,labour,Mr. Ken Livingstone,"that meant that if something was not going right, everyone could see where the political responsibility lay.  i have not the slightest interest in taking even one step towards an independent central bank, which will lead to a blurring of accountability and a blurring of where blame lies. as my hon."
496,1/28/1994,Labour,labour,Mr. Livingstone,"the best and brightest minds come out of our universities and go into the city    into stockbroking and accountancy   rather than into industry, engineering and scientific research. we must change that climate of opinion, and no independent central bank will do it.  if the bill became law, the message would go out that britain's financial interests had reinforced their predominance over industry in the british economy."
497,1/28/1994,Conservative,conservative,Lady Olga Maitland," i note that the treasury committee, of which my hon. friend the member for wolverhampton, south-west is a member, admitted that it had no intention of seeking an independent bank of england, and my hon. friend emphasised that in his speech."
498,1/28/1994,Conservative,conservative,Lady Olga Maitland,"the former chancellor of the exchequer, nigel lawson, was quoted in the economist in 1990 as saying in 1987
 i make the decisions and the bank carries them out.  a turnabout in mood, which surprised commentators, came when lord lawson, when giving evidence to the treasury select committee in an investigation into the independent role of the bank of england, said:
 i became convinced in my own mind that it would be a better institutional arrangement for the battle against inflation  ¦ it was not because i was suddenly struck with the feeling that central bankers were supermen  ¦ it was simply that i felt as an institutional arrangement it would work better.  those who work in the bank may be flattered to be called supermen."
499,1/28/1994,Conservative,conservative,Lady Olga Maitland," he favoured a mandate from parliament, giving price stability as the objective.  on accountability, it is interesting that the select committee report noted that the prime minister, commenting on the then chancellor's support for an independent central bank, said:
 the very real concern that i have always faced is one that i believe is spread widely across the house: the need for accountability to parliament for decisions on monetary policy matters. analysis of the world's leading economies shows that there is hardly any evidence that real growth rates or unemployment performance were superior in countries with more independently constituted banks."
500,1/28/1994,Conservative,conservative,Lady Olga Maitland,"the flip side, as pointed out by edward balls in the financial times in 1991 is that
 countries where the fear of inflation is greatest may be those that give the most independence to a central bank thus denying governments the ability to use monetary policy to stabilise the economic cycle which may actually lead to more variable output and higher unemployment.  surely what count are the decision makers. i think it is rather depressing that we are again looking for a holy grail."
501,1/28/1994,Conservative,conservative,Lady Olga Maitland,"in the end it boils down to whether we have the right policies or not, and an independent central bank isn't going to change that.  that view was echoed in the same article by mr. may i suggest that the way in which he has achieved that   by slow, steady, incremental change   is probably better than the statute that some of us proposed earlier in the year and certainly better than the move towards an independent central european bank which he has so often advocated?"
502,4/14/1994,Liberal Democrat,Others,Mrs. Maddock,"i agree that a stable economy is most important, which is why my party supports an independent central bank to achieve just that.  the conservatives have made the tax system much more unfair to middle-income and poor families. we have established an independent panel of forecasters to display a range of views about future inflation and economic conditions."
503,4/20/1994,Conservative,conservative,Mr. Portillo," we have already set about publishing the monthly monetary report, and we have made the bank of england independent to the point that it is able to decide the timing of interest rate changes. we have made clear to the world the indicators which we will take into account before we make decisions on monetary policy. the recent impact on consumer confidence has been based not on actual experience of what tax rises are likely to bring, but on press reports and media speculation."
504,6/28/1994,Liberal Democrat,Others,Mr. Ashdown,"given the present economic situation, is the prime minister opposed to further steps to increase the independence of the bank of england? i have made my view clear that i am not at this moment in favour of further steps to increase the independence of the bank of england. the sadness of the programme is not what is in it, but what could have been in it."
505,11/16/1994,Liberal Democrat,Others,Mr. Ashdown," we could have had a commitment to an independent bank of england; nothing would do more to assure the markets that the chancellor does not intend to risk the economy next year for conservative tax bribes before the next election. we could have had legislation on the late payment of bills, for small businesses.  inflation is low, and that is welcome."
506,11/23/1994,Conservative,conservative,Mr. Malcolm Bruce,"we do at least have a semi-independent bank of england, which can pursue policies to try to keep inflation under control. but there is some disagreement even about the inflation target. that too increases speculation, and that is undesirable."
507,11/23/1994,Conservative,conservative,Edward Heath," if, as has been suggested, we had an independent bank of england as a regional part of a european bank, that would be different. none the less, an independent bank would not call in the press all the time and say, ""these are our views,"" any more than the federal reserve board in washington or other independent banks do.  to make sure that we achieve that target, i have backed good intentions and resolve with a number of important decisions over the past year that have strengthened the framework of policy."
509,11/29/1994,Conservative,conservative,Mr. Julian Brazier,"we have a clear divorce between the advice from the bank of england which, even more strongly in its off-the-record briefings than in on-the-record material, is clearly in favour of another rise in interest rates and the clear advice of the independent panel of forecasters that we should hold steady for a while on interest rates.  i have an interest to declare once again. he has taken an extremely brave measure in deciding that the minutes of his monthly meetings with the governor of the bank of england should be published six weeks later."
510,1/17/1995,Conservative,conservative,Mr. Davies,"there is a precedent for that in the open market committee of the federal reserve bank in the united states, but that is a committee of an independent central bank.  it is quite unprecedented for politicians voluntarily to decide to put such constraints on their monetary policy as will inevitably follow from publishing those minutes. that can only be good, because adjustments of a lesser amplitude will then be needed to effect a given change in expectations and behaviour."
511,1/17/1995,Conservative,conservative,Mr. Davies,we will achieve at least some of the benefits that countries with independent central banks have enjoyed as a consequence of the greater credibility with which they conduct and pursue sustained and consistent monetary policy.  i give particular credit to my right hon.  i do not agree with some hon.
512,1/17/1995,Conservative,conservative,Mr. Legg,"members and commentators who believe that the governor and the bank of england have been given de facto independence. when the governor gave evidence to the treasury and civil service select committee, he took pride in the fact that he took the initiative in respect of the last interest rate increase. friend also has plenty of time to make his own speech."
513,2/13/1995,Conservative,conservative,Mr. Renton," once an independent european central bank is established, that is also likely to lead to lower inflation for its members. members with the following thought. that would be a particular possibility at a time when westminster   as we read in the newspapers   is held in very low esteem and it is quite feasible that the electorate would not worry too much about power passing from this chamber over such issues as money supply to an independent central bank, on which we were represented, of course, but which would be well outside the daily reach and control of politicians."
514,2/13/1995,Conservative,conservative,Mr. Renton,"i am sure that my hon. deputy speaker.  in conclusion, i remain opposed to referendums, as i said at the beginning of my remarks, but when we are able to put all the facts, in two or three or four years' time, about single currencies before the british people, i believe that the arguments of lower inflation, lower interest rates, higher employment due to inward investment and the value of an independent central bank may well win the day."
515,2/13/1995,Conservative,conservative,Mr. Cash,"i do not think it matters. stated that they strongly agreed, or agreed, with that proposition. on whether britain should never permit its monetary policy to be determined by an independent european central bank, 61 per cent."
516,2/13/1995,Conservative,conservative,Mr. Cash,"of conservative back benchers said that they strongly agreed, or agreed. for what purpose is all that taking place? is not the crucial difference between the so-called monetary union between austria and germany, or between the republic of ireland and the united kingdom, not only that they were revocable but that they retained separate central banks, separate foreign currency reserves, separate gold reserves and total independence?"
517,2/13/1995,Conservative,conservative,Mr. Bernard Jenkin,"the choice to link their currency was a decision for each of those sovereign stales, whereas that arrangement bears no relation to what is set out in the maastricht treaty, which is a legally binding irrevocable monetary union? the terms are not set in concrete. i can see many objections to an independent central bank having no popular or democratic accountability."
518,2/24/1995,Labour,labour,Mr. Banks,"i have never worried about political involvement in economic decision-making. of course, that argument will apply long after 1997.  the prime minister's second argument was that the bank of england would need to be independent."
519,2/24/1995,Independent Conservative,conservative,Mr. Budgen,"again, he will have to explain the objections to the bank of england being independent. even more, i am sure that on wednesday he will explain the disadvantages of monetary policy being managed not merely by an independent bank of england but by an independent european bank. that is one of the points that will be made clear on wednesday by the prime minister."
520,2/24/1995,Independent Conservative,conservative,Mr. Budgen,"the argument about being in the erm for two years applies not only to 1996 and 1997 but, as far as i can see, into the foreseeable future. the prime minister's argument about the undesirability of an independent bank of england also applies not only for 1996 and 1997 but for the foreseeable future. with permission, madam speaker, i should like to make a statement about the insolvency of the merchant bank barings."
521,2/27/1995,Conservative,conservative,The Chancellor of the Exchequer (Mr. Kenneth Clarke),"the board will need to work closely both with barings and with the singapore, osaka and tokyo exchanges. the house will recall that the board of banking supervision is chaired by the governor of the bank of england and comprises six independent members and three members appointed ex officio from the bank.  i can assure the house that i am determined that, when the full facts are known, all the appropriate lessons will be drawn and any necessary corrective steps will be taken."
522,2/27/1995,Labour,labour,Mr. Gordon Brown," all that, he said, was ""reassuring"".  in the light of what i consider to be a culture of complacency, is not a fully independent inquiry necessary, rather than simply a board of banking supervision inquiry chaired by the governor, so that   among other things   the actions of the bank of england and regulatory authorities can be examined objectively? is not it also clear that an analysis of not just the events of the past few days but the wider policy implications involved will be necessary in the inquiry?"
523,2/27/1995,Conservative,conservative,Mr. Bruce,"had the government moved to the position that we took at the time that we said, they would not have finished up in a mess.  [interruption.] what happened   which also reinforces the case for a politically independent central bank   was that lord lawson did the most damaging thing that any government could do: he joined the exchange rate mechanism at the worst possible moment, at the worst possible exchange rate and for the worst possible reason, which was to obtain a standing ovation at the conservative party conference the next day. that is no way to run the economy and, sadly, the government have failed to recognise that a commitment to a single currency   even in principle, never mind with or without an opt-out   requires an extremely rigorous economic policy, which the government have shown no real application to deliver."
524,3/1/1995,Conservative,conservative,The Prime Minister," let me reiterate the changes that need to be made. they are: locking exchange rates, agreeing a single currency, abolishing domestic currencies, making the bank of england independent and passing control of interest rates and monetary policy as a whole to an international bank, on which this country would be represented as one among many. those are the practical implications of going forward to a single currency, and the house and the country should be aware of them."
525,3/1/1995,Labour,labour,Mr. Peter Shore," the macro-economic powers which i have outlined are still available, although sometimes with great difficulty, to the british government. how can we possibly surrender them to european institutions, the most important of which   the central bank   is wholly independent of any influence from national or european governments? that is a major problem that has yet to be resolved."
526,5/11/1995,Conservative,conservative,Mr. Budgen,"and learned friend on not having increased interest rates, for two reasons. at long last, he understands the advantages of floating exchange rates, and he demonstrates that, under our constitution, the chancellor of the exchequer must be responsible for monetary policy and that it cannot be delegated to an independent bank of england or, worst of all, to an independent central european bank. i should certainly like to echo the kind words of the hon."
527,6/21/1995,Labour,labour,Mr. Ken Livingstone,"therefore, irrespective of what was in it, i would have voted against it.  i also voted against the maastricht treaty largely because i am opposed to an independent central bank   a strong motivating force for many labour members who opposed it. i have not the slightest doubt that, whether we are in or out of europe, that issue will return in the next parliament and will have to be fought over."
528,6/21/1995,Labour,labour,Mr. Ken Livingstone,"it is nonsense to have dual responsibility carried between an unelected official and an elected official. interest rates are central to the lives of british people and accountability for those interest rates should lie in the chamber, not with an unelected official or an independent central bank. i have no problem in voting against it."
529,7/12/1995,Conservative,conservative,Mr. Budgen,"gentleman explain a little further his proposals for extra committees within the bank of england? is he really proposing that there should be some form of independence in the bank of england, or is that just a bit of window dressing? does he agree with the government that, ultimately, any government must take political responsibility for interest rates and be responsible to the house for them?"
530,7/12/1995,Labour,labour,Mr. Brown,"no, i do not propose independence for the bank of england. but the demerits of the personalised system of the chancellor meeting the governor, which is the basis of setting monetary policy, without strengthening the advice to both the chancellor and the governor, has been exposed this afternoon by the chancellor's failure even to remember what the governor said to him. that is an argument in favour of political intervention, but too often chancellors cannot be relied on to take such objective measures, and their decisions have been made for short-term political reasons which cut across the economic requirements of the time."
531,7/12/1995,Conservative,conservative,Mr. Bruce,"i believe that the fact that the german economy has built itself on the basis of an operationally independent central bank is one reason for the success of germany's economic policy.  it must be understood that we are not talking about the bank of england setting policies.  we need a responsible fiscal policy, not just short-term tax cuts, which, as people know from bitter experience after the last election, would have to be reversed immediately after an election."
532,7/12/1995,Conservative,conservative,Mr. Bruce,"we need a sensible target for inflation and a reformed central bank given operational independence to enable it to pursue those targets free from short-term political interference.  we need a european policy crafted in the country's and not the tory party's interests, and we need a macro-economy which recognises the importance of investment to create a climate which can sustain public services, at a reasonable taxation level and at a reasonable share of gross domestic product. the board considers that more thorough tests would have been likely to reveal the inadequate support for the funding requests from singapore, but the 1994 audit had not been fully completed, and it will never be known whether coopers would have raised with the management the important issues which had apparently not been identified or addressed by the time of the collapse."
533,7/18/1995,Conservative,conservative,The Chancellor of the Exchequer (Mr. Kenneth Clarke)," the independent members of the board of banking supervision were separately asked by me to review the role of the united kingdom regulators, particularly the bank of england, in the events leading to the collapse. the board was assisted in this inquiry by a team of accountants, lawyers and derivatives experts, all drawn from outside the bank of england.  having obtained the facts for the house and the lessons to be learned, i now commend the report to the house for study, no doubt, for debate, or for whatever else we wish to do in due course when people wish to consider this matter properly."
534,7/18/1995,Conservative,conservative,Mr. Clarke,"meanwhile, open inquiry, full disclosure and a hard-hitting, independent report are the best way of restoring confidence in the bank of england.  certainly we need to improve collaboration between supervisors in different countries, a process that has been well advanced by the basle committee, but this underlines the need to take it further.  on the main point of public policy, the chancellor has displayed extraordinary complacency, and the bank of england has issued a press release saying that nothing fundamental needs to be changed."
535,7/18/1995,Labour,labour,Mr. Denis MacShane,"how soon will it be before people with investments through peps or pension funds that are traded overseas have a regulatory body independent of the bank of england to oversee how banks in this country handle those investments? leaving it with the bank of england ensures that, in future, our money will be as unsafe as the bank of england. the chancellor must not put at risk any opportunity to reduce them and he certainly must not place them in danger of being pushed up."
536,11/22/1995,Conservative,conservative,Mr. Malcolm Bruce," that is one reason why we have consistently argued for an operationally independent central bank. it is important to include and understand the adjective ""operational"". those were misjudgments and i am glad that the chancellor overruled him."
537,11/22/1995,Conservative,conservative,Mr. Barry Legg," that also shows that the bank of england is not yet ready for independence. before one makes fundamental changes to institutions, one must be confident about those changes, and the bank of england is not in a state to be independent. for an independent bank to operate successfully, it must have a strong collegiate approach, and the bank of england is many years away from achieving that."
538,11/22/1995,Conservative,conservative,Mr. Barry Legg," we do not need to see next week's budget to realise how strong the deflationary pressures still are in this economy. he would be looking at the budget much more from the point of view of a minister of finance, balancing the nation's books. the currency would be run by an independent bank of england, backed by commodities, becoming a true inflation-proof hard currency."
539,12/5/1995,Conservative,conservative,Mr. Leigh," i accept that those are radical reforms, which could take five, 10, 15 or 20 years to introduce. he wrote an article with brian reddaway, who is a professor of economics at cambridge. the argument is summarised as follows:
 if, as proposed under maastricht, a single european currency were created and an independent european central bank given control over monetary policy, the arrangement would be likely to disintegrate, or require drastic reconstruction, because the results of its operation would be found intolerable""."
540,12/7/1995,Labour,labour,Mr. Shore, that is the opinion of two men of considerable distinction. gentleman's point about the bundesbank and the benefit that the bank of england would have from that separation is powerful. that must be worthy of consideration as we move towards a more independent central bank.
541,12/14/1995,Conservative,conservative,Mr. Malcolm Bruce,"the minister knows perfectly well that i and my party favour an operationally independent central bank and believe in any case that, if we move towards monetary union, we will have to take that step. that being the case, it seems better that the bank concentrates on its role as monetary regulator, and divests itself of the role of banking regulator. member for north durham about the power of committees to take evidence, the government should commission their own clearly independent inquiry, at the very least   if they do not accept the argument   to determine whether the separation would be beneficial."
542,12/14/1995,Conservative,conservative,Mr. Malcolm Bruce," this is no pejorative criticism of arthur andersen or any consultant at all, but when the bank of england commissions a firm of consultants to look into something independently, the consultants tend to work out who the purchaser is and what kind of reply they might be looking for; it is only human nature. the report therefore inevitably falls into the category of being commissioned by the bank of england. gentleman and the house will be well aware, the whole premise is that the power is reserved for the european central bank."
543,2/12/1996,Labour,labour,Mr. Davies,"a few weeks ago, i read a rather pompous editorial   i think that it was in the independent   which suggested that it would be marvellous if the european central bank fixed interest rates for the whole economic community. how on earth can one fix one rate of interest for that whole area with its diverse economies? unless that can be achieved, the argument about cutting taxes is also about cutting services, or at least forcing people to pay for more of their education and health care straight out of their own pockets."
544,3/4/1996,Conservative,conservative,Mr. Bruce," we need a more long-term vision in economic policy, which is why liberal democrats believe that we should have an operationally independent central bank. that bank, tied into a single currency   i agree with the chancellor   if it were achievable, would enable sustained lower interest rates year on year than those we could manage to achieve on our own. there are 50 clauses and four protocols concerning price stability, but not one clause spells out anything about unemployment."
545,5/1/1996,Labour,labour,Mr. Llew Smith," i am also interested in the position of the welsh and scottish nationalists: their pro-single currency, pro-european central bank stance, together with their dream of independence. if that should ever come about   i hope that it will not   they will immediately recognise that it is independence in name only. smith) on obtaining this adjournment debate."
546,5/1/1996,Labour,labour,Ms Diane Abbott,"i want to address my remarks to the issue of independent central banks   whether the european central bank or central banks in general.  economists like to see themselves as pursuing a scientific discipline, but more often than not it seems like a species of faith healing. a few years ago, the important remedy for the decline of the british economy was meant to be fixed exchange rates and the exchange rate mechanism."
547,5/1/1996,Labour,labour,Ms Diane Abbott,"a recurring fashion in recent years has been the fashion for independent central banks. in the context of european monetary union, it would be an independent european central bank.  i want to explode some of the myths about independent central banks   whether about the european central bank or about making our own bank of england independent."
548,5/1/1996,Labour,labour,Ms Diane Abbott,"the argument for an independent central bank is that it will be more effective in dealing with inflation   if it were a european central bank, it would be more effective on a europewide scale. that has been repeated so many times by politicians   both labour and government   and by economists, pundits and newspaper columnists that it has taken on the status of fact.  however, there is no statistical or empirical basis for the belief that simply having an independent european central bank, independent of politicians, will have any effect on european inflation levels."
549,5/1/1996,Labour,labour,Ms Diane Abbott,"in 1994, the treasury and civil service select committee, on which i have the honour to serve, considered the role of the bank of england and issues relating to independence.  our special adviser, andrew wood, said that, even where price stability was a central bank aim, there was only a weak causal connection between central bank independence and low inflation. another of our advisers said that there was no conclusive statistical evidence of a causal relationship between the status of the central bank and inflation performance."
550,5/1/1996,Labour,labour,Ms Diane Abbott,"in other words, the main empirical argument for a european central bank that is independent of politicians   that somehow it would help to keep inflation low   has no basis in fact. yet politicians and pundits, whether in the context of debates about europe or the bank of england, continue to pursue that argument.  one may ask, if that argument has no statistical basis, why people have become so fixated on the notion that a european central bank that is independent of politicians would somehow bear down on inflation."
551,5/1/1996,Labour,labour,Ms Diane Abbott,"i believe that that is simple reverse causality: because the germans, who have had an independent central bank since the war, have been so successful in keeping down inflation, people think that a european central bank would have the same effect in europe.  anyone who has studied the german economy and politics knows, however, that there are all sorts of underlying reasons why german politicians and the german public have been so willing to swallow the policies that keep inflation low. the reverse causality argument   which says that, because the bundesbank has been so successful, europe needs a european central bank that is independent of politicians   does not stand up statistically."
552,5/1/1996,Labour,labour,Ms Diane Abbott," moving away from the facts and figures, the chattering classes and the people who claim to know about economics reiterate constantly the idea that monetary policy is so important that it should be taken away from politicians. they claim that the temptation for politicians to debase the currency should be removed. the argument for central bank independence and for a european central bank has found some favour with those not just on the government benches but on my own side."
553,5/1/1996,Labour,labour,Ms Diane Abbott," in that context, i remind the house of evidence given to the committee by sir douglas wass, who, as some hon. members will know, is a former permanent secretary to the treasury. on the question of a european central bank that is independent of politicians, he said:
 it is not the job of central bankers to judge how far it is right to go in damaging the standard of living of some members of the community, or destroying the jobs of others, in order to bring inflation on to some particular path."
554,5/1/1996,Labour,labour,Ms Diane Abbott,these are broad matters as much of social welfare as of economics.  that is the central argument against a european central bank. the statistical case that independent central banks bear down on inflation has yet to be made.
555,5/1/1996,Labour,labour,Ms Diane Abbott,"the idea that one can extract monetary policy, with all its implications for unemployment, from wider political considerations seems quite wrong; in other words, decisions to do with the exchange rate and monetary policy are too important to be left to bankers   whether they are european central bankers or our own wonderful eddie george. he said:
 it seems to us to be fundamentally mischievous for a significant element of the polity affecting these issues to be removed from the domain of a democratically elected and responsible government and handed to that of an appointed and unaccountable central bank"".  the arguments against an independent central bank   whether it is opposition to a european central bank or in opposition to giving independence to the bank of england   are clear."
556,5/1/1996,Labour,labour,Ms Diane Abbott,"there is no factual evidence to suggest that, if we had an independent european central bank tomorrow, it would be able to replicate europewide the success that the germans have had until recently in fighting inflation. it would be fundamentally undemocratic to take away from politicians and give to central bankers the important decisions that have such a wide-ranging effect on the whole community. smith) has chosen an important subject for his debate."
557,5/1/1996,Conservative,conservative,The Paymaster General (Mr. David HeathcoatAmory),"he spoke with great clarity against the concept of a independent european central bank, chiefly on the ground of what he perceived as a lack of democracy.  the functions and powers of the european central bank are defined in the treaty of rome, as amended   particularly as it was amended at maastricht   which sets out the phased introduction and the steps on the way to full economic and monetary union in the european union. we found when we entered the erm and locked exchange rates   having been told that all would be well because wages and prices would adjust   that wages and prices did not adjust, the erm exploded and we had to leave it rather ignominiously."
558,5/1/1996,Labour,labour,Ms Abbott,"given that experience, what makes the minister think that wages and prices would be any more responsive within emu and under an independent european central bank? the european central bank is based on the concept of having an independent central bank with governors coming from all the central banks of the countries participating. it has a strict injunction laid on it to preserve the value of the currency and price stability, which would be essential."
559,5/16/1996,Conservative,conservative,Mr. Clarke,"he has found some details in the treaty. the european central bank is intended to be an independent central bank, just as germany has an independent bundesbank and the united states has an independent federal reserve. that would be important for this country if ever we contemplated making the bank of england independent, and i think that there are mixed views in this house about that."
560,5/16/1996,Conservative,conservative,Mr. Clarke,"it is not, however, the most critical feature of the maastricht treaty. to ask the chancellor of the exchequer what recent representations he has received urging him to make the bank of england fully independent of her majesty's government.  [33405]"
561,6/27/1996,Conservative,conservative,Mr. Brown,"in view of that reply, and as the government have been so successful in reducing interest rates and inflation over the past few years, does my right hon. friend agree that there is absolutely no need whatsoever for an independent central bank in this country? further, will he confirm that we are not legally obliged   under our opt-out   to become part of the central banking system of the treaty on european union under stage 2 of economic and monetary union?"
562,6/27/1996,Labour,labour,Mr. Betts,the chancellor has previously said to the house that he does not believe that there will be any constitutional implications as a result of the creation of a single currency. will the chief secretary tell the house whether the transfer of powers from the government and from the house to an independent european central bank is not a significant constitutional change? will the government resist arty claims that are made for an independent central bank?
563,6/27/1996,Conservative,conservative,Terence Higgins,"i congratulate my right hon. yesterday, the governor of the bank of england said that he was uncomfortable with the current level of borrowing and that the chancellor should also be uncomfortable with it. he also indicated that interest rates would be able to come down further if we had an independent central bank."
564,7/17/1996,Conservative,conservative,Mr. Malcolm Bruce,"in principle, the chancellor is in favour of going into a monetary union, where we would have to have an independent central bank, and his leaked document said that if we stay out we will need an independent central bank. is it not time that he made a common-sense decision about it?  my party and i welcome several aspects of the report."
565,7/17/1996,Conservative,conservative,Mr. Bruce,"it said that, whatever course of action this country takes in relation to monetary policy and monetary union, we should have   and would need   an independent central bank sooner rather than later. the report argues that if we join the single currency we shall, by definition, sign up to the european central bank. if we stay out, having qualified, we must have our own independent central bank so as to reassure the markets that we will behave in a responsible fashion."
566,7/17/1996,Conservative,conservative,Mr. Bruce," that view was also articulated clearly by the governor of the bank of england. as an independent central banker, he would be bound to say that. however, he made two further points."
567,7/17/1996,Conservative,conservative,Mr. Bruce,"there are strong, sound economic arguments and benefits.  it is interesting to note that the most resistance to the idea of an independent central bank comes from the right of the conservative party and the left of the labour party. that is because they want to interfere in the economy on a day-to-day basis for political reasons."
568,7/17/1996,Conservative,conservative,Mr. Bruce,"gentleman completely misunderstands what an independent central bank is about. the decisions that he mentioned are policy decisions, which would continue to be determined by the government and by parliament. an independent central bank is about the day-to-day administration of a policy set by parliament and by the government."
569,7/17/1996,Conservative,conservative,Mr. Bruce,"out of 15 member states in the european union, we are the only one that operates in this way, and the only one that has not had consistently low inflation or consistent patterns of growth. member for gordon (mr. bruce) that i am rather concerned about his apparent fixation with an independent central bank."
570,7/17/1996,Conservative,conservative,Mr. Richard Spring,"it strikes me as irrelevant for liberal democrats to alight on such a policy when they are entirely committed to a politically and economically integrated europe. notwithstanding the interest with which the hon. gentleman spoke of the establishment of an independent central bank, it would prove irrelevant if his party's policies were ever carried out."
571,7/17/1996,Conservative,conservative,Mr. Richard Spring," last week, something of seminal importance happened in this country. no sound economic base has been created.  now, everyone is clutching the gimmicky idea that things will be alright if we have an independent central bank and that all the problems will be solved if we give powers to bankers with no democratic accountability."
572,7/17/1996,Labour,labour,Mr. Ken Livingstone,"i do not believe that that will happen. the advice of an independent central bank, whether it is the federal reserve in america, the bundesbank in europe or eddie george   who, fortunately, is not too independent   is always cautious and conservative and will always favour finance over industry. i see no logic in an established democracy saying that those key and vital decisions, which affect everyone's lives, should be taken out of the politically accountable arena."
573,7/17/1996,Labour,labour,Mr. Ken Livingstone," the liberals are openly in favour of that idea, and i detect one or two worrying phrases in the new labour policy document about our policy on it. if labour front-bench members think that the majority of labour members agree with them about an independent central bank, they have another think coming. from my conversations with labour members, i can tell them that the majority do not support the idea of an independent central bank."
574,7/17/1996,Labour,labour,Mr. Ken Livingstone,"if the next labour government poodles off in that direction, they may fall flat on their faces and have to be rescued by votes from tory members. livingstone), but i agree with his comments about the single currency and an independent central bank. i also agreed with him when he described the left as constantly talking britain down, because that is what we have heard from labour members during the debate."
575,10/23/1996,Labour,labour,Mr. Roy Hughes,we shall therefore need to assess carefully the european implications of such policies. would lower interest rates find favour with the independent central bank proposed by the luminaries of the european union?  i make no apologies to the house for spending so much of my speech on the subject of unemployment.
576,10/30/1996,Conservative,conservative,Mr. Malcolm Bruce,"brown) quoted interest rates from a number of european countries, saying that they were significantly lower than the united kingdom's. one factor that he did not point out was that all those countries have an independent central bank, which is a significant reason for interest rates being lower there than here. it remains, however, the united view of both main parties that they have no intention of setting up an independent central bank, even though the maastricht treaty requires one whether or not we join european monetary union."
577,10/30/1996,Conservative,conservative,Mr. Malcolm Bruce," [interruption.]
 i hear mutterings from below the gangway to the effect that the governor and the bank of england have been wrong in the past.  this independence would remove the premium that we all have to pay for political interventions. in other developed countries operating with independent central banks, long-term interest rates are persistently and consistently lower than ours."
578,10/30/1996,Conservative,conservative,Mr. Malcolm Bruce,"the costs to our public sector borrowing and to private investors who must pay these premium rates in the united kingdom are high. it is the year when the decisions of early 1988 will be taken on board. it is also the year during which parliament will have to vote on whether to make the bank of england independent in line with the maastricht decisions, with a view to us going into an independent european central bank."
579,10/30/1996,Labour,labour,Ms Diane Abbott,"that being so, the arguments that we should not be discussing these matters now because they are a long way ahead of us are simply tosh. bruce), the liberal democrat spokesman on these matters, produced as liberals are wont to do, the orthodox view of an independent bank of england. gentleman suggested that it would be a magical elixir that would be the cure for britain's long-standing economic decline."
580,10/30/1996,Labour,labour,Ms Diane Abbott,"the orthodoxy relating to an independent bank of england is not exactly the fact. the issue will have to be debated next year. there is a case for an independent bank of england, and one that bears more scrutiny than fashionable opinion has bothered to give it."
581,10/30/1996,Labour,labour,Ms Diane Abbott, there are right hon. martin woolf of the financial times has said that a european central bank would be the most powerful and politically unaccountable bank in the world. it is the political unaccountability of both an independent bank of england and a european central bank on which the house should focus tonight and in future debates.
582,10/30/1996,Labour,labour,Ms Diane Abbott," much of the argument, inasmuch as people argue rather than make assertions in a fashionable way, for an independent bank of england, rests on the notion that there is a causal relationship between an independent bank and low inflation. the treasury committee considered the issues before the hon. we found that the factual evidence for a causal relationship was slender."
583,10/30/1996,Labour,labour,Ms Diane Abbott,"there is a relationship: as fashionable opinion always says, germany has historically had low inflation since the war and it has an independent central bank, but i always argue   the advisers and the information available to the select committee back me up   that to find the roots of germany's low inflation one has to look at germany's searing experience of hyper-inflation in the 1930s and immediately after the second world war and at a political consensus between management and labour to take inflation seriously. i challenge any of the fashionable pundits to come up with some academic evidence to show that there is a genuine causal relationship between an independent central bank and low inflation.  andrew wood, our specialist assistant to the select committee, said: whilst the relationship between inflation and central bank independence is undisputed, it is generally acknowledged that that relationship may not be causal""."
