,id,date_short,party,party_2,name,sents,categories,label_number
1552,1559,5/10/2007,Labour,Labour,Gordon Brown,"gentleman was being honest with us about the tax credit situation and his statements reflected what was happening on the ground, he would acknowledge that one of the reasons why we have 2.5 million more people in work is tax credits. friend the chancellor becomes first lord of the treasury, will the minister   who, i am sure, will remain a member of his right hon. friend's team   urge on him that when helping to determine the government's future fiscal policies, he should agree with president-elect sarkozy's strong belief in the importance of retaining large national gold reserves, and with his fierce criticisms of the incompetent behaviour of the independent european central bank?",Unrelated,2
1423,1430,4/20/2004,Labour,Labour,Calum MacDonald,"the government are rightly given credit for their early decision to give the bank of england operational independence. that, too, has been an important building block, as hon. at the same time, a fair distribution of financial liabilities has been achieved between the generations.",Pro-independence,1
1276,1283,12/14/2000,Labour,Labour,Mr. Brown,"members: ""oh, no!""]
 i know that the right hon. gentleman agrees with me about the independence of the bank of england. i hope that he also agrees with me about the importance of monetary and fiscal stability.",Pro-independence,1
1111,1118,7/5/1999,Labour,Labour,Ms Hewitt, we engaged in a full and interesting debate on this subject in committee. clause 125 completes the separation between monetary policy and cash management   debt management operations   that we undertook when we gave the bank of england operational independence in regard to monetary policy. the new clause is simply and genuinely a technical consequence of the main provision that we introduced in the bill.,Pro-independence,1
997,1002,11/5/1998,Labour,Labour,Mr. Brown," working families tax credit will help 1.5 million people, but the conservatives oppose it. bank of england independence gives us economic stability, but the conservatives oppose it. it is time they woke up to the fact that in the modern world we must make the changes that the labour party is making.",Pro-independence,1
1127,1134,7/27/1999,Labour (Co-op),Labour,Mr. Sheerman,"friend being a little unfair to the conservative opposition because at least there is some fancy footwork going on? does he not agree that they have realised what a terrible mistake they have made in opposing independence of the bank of england? they have realised that they must change their mind and have set up some committee, which will report that they should change their mind and let them off the hook.",Pro-independence,1
1324,1331,4/17/2002,Labour,Labour,James Plaskitt,"fiscal discipline has also played a key part, and continues to do so. i am as proud of that as i am to be a member of the gmb trade union.labour is also the party of fairness, and today's budget is one for the public services. millions of people throughout the country will benefit as we generate an economy that brings prosperity to the country as a whole.the decision to give the bank of england independence on interest rates was bold and courageous.",Pro-independence,1
717,721,11/11/1997,Labour,Labour,Ms Diane Abbott,"what shapes the long-term economy more than the level of interest rates?  when europhile members talk about other european countries and their independent central banks, they do not mention that the role of interest rates in the british economy is rather different, and slightly more sensitive, than that in other economies. for example, in germany, a far smaller proportion of people own their own homes.",Unrelated,2
1250,1257,5/17/2000,Labour,Labour,The Minister for Small Business and E-Commerce (Ms Patricia Hewitt),"gentleman expressed his view and that of a large part of the conservative party about the euro, but one reason for our commitment in principle to joining a successful single currency if the economic conditions are met is that it would eliminate the exchange rate instability that has been so damaging and that has created such difficult conditions for manufacturing industry and other exporters. we are the party that introduced independence for the bank of england. we introduced the national minimum wage, the new deal and the working families tax credit.",Unrelated,2
408,410,7/22/1993,Labour,Labour,Mr. Peter Shore,"they have not yet understood that it will allow those bodies to decide the chancellor's budget and his borrowing requirement, it will abolish the bank of england as a nationalised industry and hand it over to a totally independent european central bank that will decide the interest rates and exchange rates of our country.  the labour party front-bench spokesmen and our shadow chancellor need to offer something in return to the british people. members who cast their votes tonight.",Unrelated,2
293,295,1/14/1993,Labour,Labour,Mr. Macdonald,"indeed, if we compare the experience of germany and sweden with that of the united kingdom   with labour governments here having to wrestle with a supposedly dependent central bank   my argument is borne out. in giving a general blessing to the convergence criteria, to the narrowness and rigidity of the treaty, and to the idea of an independent central european bank   and with that an independent bank of england   is my hon. friend in line with labour party policy as expressed by the front-bench spokesmen?",Unrelated,2
1355,1362,11/18/2002,Labour,Labour,Gordon Brown,"he then said that we were wrong not to keep to the spending rules when we cut debt so that we are in a position to borrow at times that are more difficult for the economy, and he now says that our spending is unacceptable. does anyone know? does anyone care?during the 1980s and 1990s, when other countries were making decisions on central bank independence, the conservatives could have made the bank of england independent.",Unrelated,2
1049,1054,12/16/1998,Labour,Labour,The Prime Minister,"as a result of the policies that we are pursuing, we have the best chance of getting ourselves through any economic downturn. monetary stability is in place because of the independence of the bank of england, which has given us the lowest long-term interest rates for more than 30 years. because of the changes that we made in public spending on coming to office, we were able to reduce the conservative deficit, and are able to put Â£40 billion extra into our schools and hospitals from next april.",Pro-independence,1
289,291,1/14/1993,Labour,Labour,Mr. Macdonald,"my point is that arguments have been advanced from both parties that the treaty is somehow an end to political debate. gentleman has such doubts about the running of a bank which theoretically is state-owned and state-controlled, what influence does he think will be possible in the case of an independent central bank dedicated to a course of euro-monetarism? i am glad that my hon.",Unrelated,2
1554,1561,6/14/2007,Labour,Labour,John Healey,"last month. consistent with the treasury's forecast in the budget, and with the bank of england's may inflation report, independent forecasters expect inflation to return to its target level by the end of the year. i start by congratulating the exchequer secretary on her appointment and by welcoming her to the front bench again.",Unrelated,2
633,637,6/11/1997,Labour,Labour,Ms Diane Abbott,"friends that an independent central bank necessarily leads to low inflation, the academic research suggests that, although there may be a statistical relationship between central bank independence and low inflation, no causal relationship can be established.  that point is so important that the house will forgive me if i linger for a few minutes on the academic arguments. in 1993, the treasury select committee conducted a major inquiry into the idea of independence for the bank of england.",Anti-independence,0
227,228,2/26/1992,Liberal Democrat,Others,Mr. Beith,"why should we not say, here and now, that the central bank would exercise independent responsibility for monetary policy, having price stability as its objective?  that would be a much better position to adopt for an opposition party entering an election. it would be helpful if people knew that, during an election campaign and subsequently, a central bank would exercise that independent responsibility.",Pro-independence,1
1455,1462,3/16/2005,Liberal Democrat,Others,Charles Kennedy,"of course part of the reason for that, on which i know the chancellor now agrees, is that when he first came to his high office, he implemented liberal democrat policy on giving operational independence to the bank of england. the difference between the chancellor and ourselves, of course, was that he did not say it and he did it, whereas we said it and would have done it had we been given the opportunity to do so.the chancellor rightly speaks about the need for social justice in our country and for our tax and expenditure policies to reflect that ambition. my constituents are pleased about that, naturally   everyone should be pleased about it   but it would be sensible for hon.",Pro-independence,1
178,179,6/26/1991,Liberal Democrat,Others,Russell Johnston,"secondly, monetary union will give the british economy the balance of a sustained counter-inflation policy that it has long been denied. we are not only not afraid of an independent central bank   the labour front bench indisputably is    but we welcome it. we should be only too pleased to follow the example of the bundesbank model because it works.",Pro-independence,1
136,137,11/14/1990,Liberal Democrat,Others,Mr. Beith,"the bundesbank takes decisions which have a very powerful impact on our economy. i would much rather be part of a central bank and monetary system which was much more influenced by our own traditions and ways because we were part of it, but i would nevertheless like it to enjoy the kind of independence that has enabled germany to have a much lower rate of inflation for so long. those who deride and disagree with that view should consider what has happened in other countries.",Pro-independence,1
987,992,11/4/1998,Liberal Democrat,Others,Mr. Davey,"they have had many reviews to do with fiscal policy and launched many papers about how it should be set for the long term; but with an independent central bank and with monetary union a not too distant prospect   i hope   the government need to revisit fiscal policy theory and decide whether they are prepared to use fiscal policy actively to promote the interests of this country. gentleman incorrectly says that we have not stated our fiscal policy proposals. if he is so concerned about opposition parties stating their policies, will he tell the house the conservative party's policy on the independent central bank?",Unrelated,2
132,133,11/7/1990,Liberal Democrat,Others,Mr. Ashdown,"i am surprised that he does not object to such sovereignty. to use the words of sir leon brittan   backed up by the chancellor   when he was in a similar position, an independent central bank, as has been established in germany and so many other democracies, is a solid rock upon which a genuine counter-inflationary policy can be based. the government tell us the opposite.",Pro-independence,1
226,227,2/26/1992,Liberal Democrat,Others,Mr. Beith,"199, c. 517.]
 clearly, the chancellor has accepted that a european single currency could not be run without an independent central bank. why should we not enjoy that advantage now?",Unrelated,2
817,821,3/17/1998,Liberal Democrat,Others,Mr. Paddy Ashdown,"once again, we are faced with the possibility   i place it no higher than that   of another spin around that old back-breaking british cycle of boom and bust, which has dogged us for so long. that is a depressing outcome for a chancellor whom i believe to be sincere about wanting to manage for the long term, and whose first act was, commendably, to give independence to the bank of england   something that we proposed, but he did.  the second consequence of labour's foolish pre-election promises on taxation and spending is that the government cannot now fund an early start to delivering their self-declared early pledges on health and education.",Pro-independence,1
874,878,6/29/1998,Liberal Democrat,Others,Mr. Malcolm Bruce,"that gave us entry into the exchange rate mechanism at the wrong moment   black wednesday   and the inflationary pressures under the previous government, yet the conservative party wants a return to the right of politicians to meddle in the short-term, day-to-day management of the economy and so damage the national interest.  in this context, the current chancellor is to be congratulated on giving operational independence to the bank of england and on his code for fiscal stability which, we hope, will entrench sensible rules for public borrowing. both those changes should provide greater economic stability, lower inflation, lower interest rates and higher employment.",Pro-independence,1
1690,1697,5/26/2010,Liberal Democrat,Others,David Laws,"i am grateful to you, mr speaker. i gently point out to the shadow chancellor that in 1997, the labour party announced its policy of bank of england independence not to this place but outside it. that was not even a policy that the labour party had stood on in its manifesto, so there is a very considerable difference with the proposals that we brought.let me also say to the shadow chancellor that it should be clear, in relation to his questions on schools, that we have protected the schools budget.",Pro-independence,1
1318,1325,4/10/2002,Liberal Democrat,Others,Vincent Cable,"i was part of that process, and it worked admirably. we have a tendency not to learn from other countries, and to think that because we started it we know best. however, central bank independence and the way we have run the economy show that we have learned lessons and benefited from them.",Pro-independence,1
159,160,1/24/1991,Liberal Democrat,Others,Russell Johnston," thirdly, experience in germany, and for that matter in the united states, of an independent central bank is good. there is often tension between the elected government and the bankers, as there was recently in germany, hut. the key problem is that the hard ecu scheme would not do what most other ems countries want.",Pro-independence,1
1674,1681,11/26/2009,Liberal Democrat,Others,Vincent Cable,"however, my party's approach would be more modest. it has been talked about as if that was the only thing that happened on that occasion, but it was not. the key factor was the bank of england being given independence and control over the setting of interest rates.",Unrelated,2
1602,1609,10/6/2008,Liberal Democrat,Others,Vincent Cable,"i have been a very strong advocate of the independence of the bank of england; i made my maiden speech about it in this house 10 years ago. does the chancellor not think it appropriate, in emergency conditions, to make it absolutely clear that the mandate of the bank of england must include responsibility for averting a meltdown in the financial and economic system? gentleman is dangerous   whatever else he is, that is not quite the right description   but i think that in this case he is just wrong.",Pro-independence,1
130,131,11/7/1990,Liberal Democrat,Others,Mr. Ashdown,it is offensive to say that that is somehow inimical to the operation of a democracy. the prime minister put forward the argument that somehow or other an independent central bank undermines the sovereignty of parliament. does any hon.,Pro-independence,1
168,169,3/20/1991,Liberal Democrat,Others,Mr. Beith," that is all well and good, and the chancellor has made a reasonable attempt in the budget to demonstrate that fiscal responsibility and that commitment. but they could have been achieved more clearly and over a longer period by announcing the measure that we proposed, of greater independence for the central bank on monetary policy. that would have removed the need for the premium on interest rates which arises from uncertainty about the government's attitude to monetary policy and the level of sterling.",Pro-independence,1
875,879,6/29/1998,Liberal Democrat,Others,Mr. Malcolm Bruce,"certainly, that is the justification for putting them in place.  as i argued on behalf of the liberal democrats before and during the last general election, long-term interest rates have already fallen directly because of expectations of lower inflation, which has resulted from the operational independence of the central bank. if we secure lower levels of public borrowing, it means that when shocks to growth do occur   continued steady growth cannot be guaranteed   there is greater flexibility for fiscal policy and less risk of destabilising policy adjustments.",Unrelated,2
1252,1259,6/7/2000,Liberal Democrat,Others,Mr. Kennedy,"although we join him in rightly criticising the boom-and-bust days that preceded this government, it is worth placing on the record the fact that, although he and his ministerial colleagues are occasionally   indeed, regularly   somewhat dismissive of our approach to economics, the central plank of the government's economic strategy, which has created the opportunities to do so many things, was in our manifesto but not in labour's. i am referring to operational independence for the bank of england. if one thought that it was simply a question of economic management, there would be little justification for a referendum.",Pro-independence,1
1707,1714,2/17/2011,Liberal Democrat,Others,Vincent Cable,"the figures will be independently monitored by the bank of england and published quarterly. friend makes a helpful suggestion, and i will examine whether the figures can be disaggregated in that way. the bank of england ™s monetary policy committee is of course independent.",Unrelated,2
910,915,10/26/1998,Liberal Democrat,Others,Dr. Vincent Cable,"i welcome the minister's strong, robust reaffirmation of the government's decision to make the bank of england independent, but will he explain why, given that independence, the chancellor of the exchequer feels it necessary to give the bank unsolicited advice on interest rates? i am happy to discuss productivity. the new deal would be scrapped, denying hope to tens of thousands of young and long-term unemployed people.",Pro-independence,1
392,394,6/9/1993,Liberal Democrat,Others,Mr. Ashdown,"they want a strategy that will encourage small businesses, stimulate enterprise, initiate a powerful programme to get the long-term unemployed back to work, give a clear lead so that britain can make the best out of its future in europe, prudently invest in the future, especially in skills and in a modern infrastructure, and give independence to the bank of england to act as a bulwark against inflation.  was it not amazing that we heard for the second time in the resignation speech by the right hon. member for kingston upon thames that he wished britain to have an independent central bank?",Pro-independence,1
821,825,3/17/1998,Liberal Democrat,Others,Robert Smith,"he can still affect the climate that affects interest rates and he has to be aware of how his actions will affect it. that is a key device for linking the performance of the united kingdom economy with that of our european partners, and i know that it will be appreciated by hundreds of companies in my constituency that are heavily dependent on trade with the rest of the european union.  if we relate the code for fiscal stability to the new bank of england independence, the government's deficit reduction plan, the strategy for debt management and the clear map that has been laid out for progress towards european monetary union, we can see that the government have created a substantially more stable climate for the economy.",Unrelated,2
171,172,3/25/1991,Liberal Democrat,Others,Mr. Wallace,"friend the member for berwick-upon-tweed stated how our party would ensure that interest rates not only came down, but were kept down through movement into the narrower band of the exchange rate mechanism and greater independence for the central bank.  we should not,however, lose sight of the fact that many businesses have already gone to the wall. they are now seeking to discipline employees by threatening them with a fixed and unalterable exchange rate.",Unrelated,2
1726,1733,11/23/2011,Liberal Democrat,Others,Vincent Cable,"let me read to him the governor ™s account given a week ago on why the slow-down in growth has occurred. britain ™s interest rates have been made lower as result. that has been achieved by the independent bank of england ™s purchasing policy, not because of the chancellor ™s fiscal measures.",Pro-independence,1
131,132,11/7/1990,Liberal Democrat,Others,Mr. Ashdown,"the house has been weakened to such an extent that effectively it is a poodle. by having an independent central bank we would be damaging the prime minister's sovereignty   we would be diminishing the prime minister's sovereignty to reduce interest rates on the eve of the conservative party conference for the good of her party and not for the good of the nation, and that cannot come too soon. we would be diminishing the prime minister's sovereignty over debauching the british economy before an election to purchase votes, for which we would all pay the price afterwards.",Anti-independence,0
1568,1575,11/14/2007,Liberal Democrat,Others,Julia Goldsworthy,"however, in the months following the prime minister's last budget as chancellor, it has become increasingly evident that our economy is increasingly exposed to uncertainty. the sad thing for the prime minister is that he had vision once. the proposal to make the bank of england independent, which was put forward when he was first chancellor, and which we supported, demonstrated that.",Unrelated,2
737,741,11/11/1997,Liberal Democrat,Others,Dr. Vincent Cable,"that is what matters for investment and growth, and that is why the bill is so important.  on the issue of central bank independence, i have a query about the link between this debate and our eventual entry into economic and monetary union. as the government know, we support their broad approach to emu, but we are critical of the fact that they have passed up the opportunity for early entry.",Unrelated,2
705,709,11/11/1997,Liberal Democrat,Others,Mr. Bruce,"and learned member for rushcliffe and got him middle stump by asking for his view on an independent central bank for the united kingdom as compared with a european central bank. it is neither consistent nor logical to oppose the principle of an operationally independent bank for the united kingdom while being in favour of a single currency reinforced by a central european bank.  the government have set themselves the task of preparing the country for membership of a single currency, even if, regrettably, they have effectively ruled out the possibility of an early decision in this parliament   although i suspect that they may yet have to return to that.",Unrelated,2
893,898,7/21/1998,Liberal Democrat,Others,Mr. Bruce,"however, we deplore the unbalancing effect of the government's fiscal policy. gentleman has been in the chamber until now, but i may give way to him later.  that is why we gave the bank of england operational independence and we now have the lowest   ",Pro-independence,1
240,241,5/13/1992,Liberal Democrat,Others,Mr. Beith,"that is the way to ensure that in the longer term we have lower interest rates. member for great grimsby is around     so vocal and so active    the markets may be right to believe that one day the currency may be devalued. amendment proposed, at the end of the question, to add:but humbly regret that the gracious speech fails to provide for the essential investment in education and training which is vital to the country's economic recovery, lacks the basis for a sustained policy of low inflation and stable interest rates, and specifically lacks a commitment to joining the narrow band of the erm and establishing the operational independence of the bank of england, fails to address the fundamental problems of the economy, by increasing investment, competition and the establishment of a flexible labour market in which employees increasingly share in the success of' their companies, and does not contain legislation to deal with the problems of environmental pollution; and finally regret the absence of any legislation to provide for electoral reform for local, westminster and european elections or to provide for parliaments for scotland and wales.""    [mr.",Unrelated,2
220,221,2/19/1992,Liberal Democrat,Others,Mr. Beith,"alongside that, there must be a genuine commitment to free enterprise and to a free market economy. does the right hon. and learned gentleman hope that, by that time, the united kingdom will be a member of a single currency union   recovery may well take that long   and that it will then be controlled by an independent european central bank?",Unrelated,2
224,225,2/26/1992,Liberal Democrat,Others,Mr. Beith,"on the whole, people with no money to spend will spend more of what they subsequently gain by way of increases in pensions and benefits.  the absence of any coherent alternative suggests that no one can produce a better method of building in a firm anti-inflation policy than central bank independence. already, the government are becoming complacent about their inflation policy.",Pro-independence,1
1500,1507,3/22/2006,Liberal Democrat,Others,Menzies Campbell,"in spite of what the right hon. gentleman has said today, there is complacency about the threat to the environment, and he presides over a treasury that cannot manage even its own tax credit system.of course we welcome the changes in child tax credit and acknowledge the stability in inflation and employment, but we are entitled to remind the chancellor that that stability is based on the independence of the bank of england. clarke).i congratulate the chancellor, as i have done every year since he has been chancellor, on his decision to grant independence to the bank of england.",Pro-independence,1
249,251,7/2/1992,Liberal Democrat,Others,Mr. Kennedy," the maastricht treaty is positive in that it establishes the basis of a common citizenship across europe.  the provisions on economic and monetary union are not so clear cut as many people seem to think. the central bankers would be unelected, independent and unaccount-able, all in the name of price stability.",Unrelated,2
62,63,10/31/1989,Liberal Democrat,Others,Mr. Beith,"is it an unchanged commitment which will be continued by the new chancellor, or will it surge forward at some point as the issue on which he resigns when he discovers that it is the subject of tittle-tattle and unwarranted things all got up by the press?  there is no clear framework within which british economic policy operates   it is not the ems, the independent central bank, broad money or narrow money; and it is certainly not the exchange rate. if monetarism cannot be worked by the present government, i cannot conceive of any government that could make it work.",Unrelated,2
1833,1841,2/1/2016,Plaid Cymru,Others,Jonathan Edwards,"i understand that the central bank is politically independent, but there is obvious co-ordination between the treasury and the central bank. similar protocols and links need to be developed with the welsh, scottish and northern irish exchequers. i am not sure that cag access will be enough.",Unrelated,2
905,910,10/26/1998,Liberal Democrat,Others,Mr. Bruce,"the chancellor has talked tough about ending boom and bust   he talks of little else. he has done many good things that we have supported, such as giving operational independence to the bank of england. i shall certainly deal with that   if the hon.",Pro-independence,1
1314,1321,1/14/2002,Liberal Democrat,Others,Vincent Cable,"i sat on the select committee on the treasury when the monetary policy committee was being set up. i endorse his argument that ofcom must be independent. the competition act 1980, the enterprise bill and the independence given to the bank of england are proof that we have been moving in that direction over the past five years, and i see no sign that that will not continue.",Pro-independence,1
1575,1582,12/12/2007,Liberal Democrat,Others,Julia Goldsworthy,"however, the issue that he raised was not to do with that, but with who took on oversight of the banks. the way it did so was to spend as little as possible on maintaining the network. i welcomed the creation of network rail, which was a lib-dem proposal   one of the ones that the government nicked, dare i say, along with many others, including independence for the bank of england and so on.",Pro-independence,1
427,430,1/28/1994,Liberal Democrat,Others,Mr. A. J. Beith," at least the liberal democrats cannot be accused of advocating an independent central bank in response to fashion   unless, that is, we are the setters of fashion, which we like to believe we are, because we put that proposal in election manifesto commitments when it was the preserve of only a few. it has taken a spate of ex-chancellors to give the concept some respectability, which it did not previously enjoy, and dispassionate and careful analysis in a treasury select committee convinced some hon. nor is it conceivable that we could devise a british clone of the bundesbank or the ""fed"".",Unrelated,2
112,113,10/15/1990,Liberal Democrat,Others,Mr. Alan Beith,"does he rule that out? as the prime minister's objections to joining the exchange rate mechanism before inflation was down to the level of our partners have been blown away like confetti in a gale, may we hope that her objections to a single currency and a more independent european central bank will go the same way?  as there is a strong and developing consensus in several other community countries in favour of currency union, i repeat now what i have told many colleagues in the community and in the commission for some years.",Unrelated,2
1805,1813,3/11/2014,Liberal Democrat,Others,Danny Alexander,"both the chancellor of the exchequer and i have regular discussions with the governor of the bank of england on a wide range of issues on the uk economy. a currency union would not work for the rest of the uk or for an independent scotland. monetary policy is, rightly, the preserve of the independent bank of england.",Unrelated,2
218,219,2/19/1992,Liberal Democrat,Others,Mr. Beith, the other great weakness of labour's position so far is that it lacks the anti-inflation policy which is necessary to accompany the investment measures set out in the motion. that is why we sought to amend the motion by adding the anti-inflation buttress which we believe would best be provided by an independent central bank. it is a mistaken charge for the government to lay against the labour party that its proposals would deepen recession.,Pro-independence,1
1346,1353,7/4/2002,Liberal Democrat,Others,Ed Davey,"i argued that because if the markets think that the chancellor may use that remaining power to set targets and thus affect interest rates and the exchange rate, that will undermine the credibility of the inflation rate.long-term interest rates show some evidence that we are still paying a premium in the uk. we have slightly higher long-term interest rates than many other of our competitor countries. that slight premium exists partly because the bank of england does not have target independence.",Unrelated,2
121,122,10/23/1990,Liberal Democrat,Others,Mr. Beith,"the present signs suggest that most of those objectives are not the government's objectives. indeed, the government have set aside the obvious advantages to fighting inflation of having a rnore independent central bank because of the now wholly bogus argument about the control that parliament is supposed to be able to exercise over monetary policy. anybody who believes that the house of commons is in control of monetary policy seriously misunderstands the way in which the british system of government works.",Pro-independence,1
738,742,11/11/1997,Liberal Democrat,Others,Dr. Vincent Cable,"that will present some tricky transitional problems for an independent bank of england.  those problems were graphically outlined in the interviews given by mr. clarke), the previous chancellor of the exchequer.",Anti-independence,0
61,62,10/31/1989,Liberal Democrat,Others,Mr. Beith,"member for blaby implied that we must have one or the other if anti-inflation policy is to be credible. it would be interesting to hear whether the study of central bank independence to which he referred has been taken any further or whether it found its way into the prime minister's or sir alan walters's wastepaper basket; and if so, for what reason. perhaps it is to be a new source of dispute.",Unrelated,2
234,235,5/6/1992,Liberal Democrat,Others,Mr. Ashdown,i see no commitment to any of those actions in the government's programme.  the single currency is the written-in objective of the maastricht treaty. it is even worse when one considers that we are not only setting up an entirely new set of bodies to manage the currency but giving its control to a central bank mechanism which is independent of politicians and the people who represent society.,Anti-independence,0
409,411,11/25/1993,Liberal Democrat,Others,Mr. Beith,"why does not the chancellor seize the opportunity to lock in that monetary discipline and make himself the first chancellor to recognise the merits of an independent central bank while still in office, rather than waiting until he has left it? my joke the other day may have been misunderstood. beith), but i warn him that there are much bigger and more serious matters of parliamentary accountability to be addressed before anybody makes a decision one way or another about the independence of a central bank.",Anti-independence,0
1339,1346,4/30/2002,Liberal Democrat,Others,Ed Davey," [laughter.] labour members laugh, but the proposal was not set out in their manifesto, so they should wipe the smiles off their faces. perhaps they will be more amused by my next observation. it was interesting to hear conservative front benchers try to take credit in the budget debate for the independent central bank policy, when they had opposed it in government.",Unrelated,2
